sample_class	process_or_mode	campaign	ebeam1_candidates_GeV	ebeam2_candidates_GeV	sqrt_s_candidates_GeV	path_energy_tag	beam_energy_authorized	status
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716				run2_13tev	False	beam_energy_missing_from_available_configuration
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1				run2_13tev	False	beam_energy_missing_from_available_configuration
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
