sample_class	process_or_mode	campaign	command_kind	command	source_archive_path	source_member_name	source_line	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	import_model	import model sm	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	38	source_aware_proc_card_command
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	definition	define l+ = e+ mu+	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	39	source_aware_proc_card_command
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	definition	define l- = e- mu-	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	40	source_aware_proc_card_command
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	definition	define vl = ve vm vt	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	41	source_aware_proc_card_command
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	definition	define vl~ = ve~ vm~ vt~	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	42	source_aware_proc_card_command
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	definition	define p = g u c d s u~ c~ d~ s~	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	43	source_aware_proc_card_command
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	definition	define j = g u c d s u~ c~ d~ s~	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	44	source_aware_proc_card_command
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generate	generate p p > b b~ h QCD=2 QED=1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	45	source_aware_proc_card_command
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	import_model	import model sm	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	38	source_aware_proc_card_command
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	definition	define l+ = e+ mu+	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	39	source_aware_proc_card_command
