sample_class	process_or_mode	campaign	standard_configuration_complete	beam_energy_candidate_located	process_definition_candidate_located	pythia_configuration_candidate_located	forced_decay_candidates	qcd_sampling_candidates	generator_xsec_candidate_located	sumw_candidate_located	campaign_equivalence_authorized	decay_convention_authorized	filter_efficiency_authorized	denominator_authorized	physical_weight_authorized	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	True	True	True	True	0	8	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	True	True	True	True	0	8	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	True	True	True	True	0	8	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	True	True	True	True	0	8	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	False	False	False	True	0	27	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	False	False	False	True	0	27	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	False	False	False	True	0	27	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	False	False	False	True	0	25	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	True	True	True	True	0	0	True	False	False	False	False	False	False	configuration_review_complete_freeze_pending
