sample_class	process_or_mode	campaign	candidate_count	candidate_values_pb	c1_campaign_candidate_pb	generator_cross_section_authorized	external_reference_cross_section_authorized	branching_fraction_convention_authorized	filter_efficiency_convention_authorized	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	3	0.028709590999999996,56420000000,316820000000	0.028709590999999996	False	False	False	False	generator_candidates_conflict_require_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	3	0.028599411000000002,56420000000,318840000000	0.028599411000000002	False	False	False	False	generator_candidates_conflict_require_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	3	12.8776194,56420000000,319970000000	12.8776194	False	False	False	False	generator_candidates_conflict_require_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	3	12.838228700000002,56420000000,314520000000	12.838228700000002	False	False	False	False	generator_candidates_conflict_require_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	3	347.01240100000001,56420000000,319590000000	347.01240100000001	False	False	False	False	generator_candidates_conflict_require_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	3	347.45968900000003,56420000000,318880000000	347.45968900000003	False	False	False	False	generator_candidates_conflict_require_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	3	9.7152350999999992,56420000000,317040000000	9.7152350999999992	False	False	False	False	generator_candidates_conflict_require_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	3	9.8126595999999999,56420000000,316650000000	9.8126595999999999	False	False	False	False	generator_candidates_conflict_require_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	2	56420000000,316610000000	186515000000	False	False	False	False	bin_dependent_candidates_do_not_average_or_promote
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	2	56420000000,319010000000	187715000000	False	False	False	False	bin_dependent_candidates_do_not_average_or_promote
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	2	56420000000,316570000000	186495000000	False	False	False	False	bin_dependent_candidates_do_not_average_or_promote
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	2	56420000000,317080000000	186750000000	False	False	False	False	bin_dependent_candidates_do_not_average_or_promote
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	3	7.0188000000000006,56420000000,316530000000	7.0188000000000006	False	False	False	False	generator_candidates_conflict_require_review
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	3	6.9969000000000001,56420000000,316140000000	6.9969000000000001	False	False	False	False	generator_candidates_conflict_require_review
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	3	58.124000000000002,56420000000,318570000000	58.124000000000002	False	False	False	False	generator_candidates_conflict_require_review
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	3	58.256999999999998,56420000000,316240000000	58.256999999999998	False	False	False	False	generator_candidates_conflict_require_review
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	3	100.36,56420000000,317370000000	100.36	False	False	False	False	generator_candidates_conflict_require_review
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	3	100.643,56420000000,317560000000	100.643	False	False	False	False	generator_candidates_conflict_require_review
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	3	512.56413999999995,56420000000,318400000000	512.56413999999995	False	False	False	False	generator_candidates_conflict_require_review
