sample_class	process_or_mode	campaign	field	value	source_archive_path	source_member_name	source_location	qcd_weight_or_stitching_authorized	status
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	text_line	0 = nhel ! using helicities importance sampling or not.	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	203	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	text_line	! 0: sum over helicity, 1: importance sampling	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	204	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	text_line	"# To see advanced option for Phase-Space optimization: type ""update psoptim"""	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	208	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	text_line	# Phase-Space Optimization strategy (basic options)	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/cards/run_card.dat	./cards/run_card.dat	76	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	text_line	0 = nhel ! using helicities importance sampling or not.	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/cards/run_card.dat	./cards/run_card.dat	78	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	text_line	! 0: sum over helicity, 1: importance sampling	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/cards/run_card.dat	./cards/run_card.dat	79	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	text_line	"# To see advanced option for Phase-Space optimization: type ""update psoptim"""	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/cards/run_card.dat	./cards/run_card.dat	83	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	text_line	# Phase-Space Optimization strategy (basic options)	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	201	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	text_line	0 = nhel ! using helicities importance sampling or not.	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	203	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	text_line	! 0: sum over helicity, 1: importance sampling	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	204	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	text_line	"# To see advanced option for Phase-Space optimization: type ""update psoptim"""	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	208	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	Wrote: /srv/output/parquet/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_hh4b_candidates_v2.parquet	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_candidates.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_candidates.log	5	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	** Reading /srv/output/hepmc/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033.hepmc	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_delphes.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_delphes.log	52	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	Wrote: /srv/output/parquet/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.parquet	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	1	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	0 qcd_hardqcd_importance_adaptive1500k_phys_wave... ... 17.722937	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	3	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	1 qcd_hardqcd_importance_adaptive1500k_phys_wave... ... 9.715971	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	4	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	2 qcd_hardqcd_importance_adaptive1500k_phys_wave... ... 6.456708	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	5	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	3 qcd_hardqcd_importance_adaptive1500k_phys_wave... ... 13.593272	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	6	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	4 qcd_hardqcd_importance_adaptive1500k_phys_wave... ... 18.286701	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	7	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	9995 qcd_hardqcd_importance_adaptive1500k_phys_wave... ... 10.463482	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	9	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	9996 qcd_hardqcd_importance_adaptive1500k_phys_wave... ... 5.929415	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	10	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	9997 qcd_hardqcd_importance_adaptive1500k_phys_wave... ... 6.859865	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	11	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	9998 qcd_hardqcd_importance_adaptive1500k_phys_wave... ... 11.496486	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	12	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	9999 qcd_hardqcd_importance_adaptive1500k_phys_wave... ... 29.167273	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.log	13	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	| PhaseSpace:pTHatMax | 75.00000 | -1.00000 |	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_pythia.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_pythia.log	88	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	| PhaseSpace:pTHatMin | 50.00000 | 0.0 0.0 |	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_pythia.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_pythia.log	89	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	PYTHIA Warning in PhaseSpace::trialKin123: maximum for cross section violated	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_pythia.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_pythia.log	105	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	| 6 Warning in PhaseSpace::trialKin123: maximum for cross section violated |	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_pythia.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_pythia.log	156	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	WROTE_HEPMC=/srv/output/hepmc/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033.hepmc	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_pythia.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_pythia.log	161	False	qcd_sampling_or_overlap_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	text_line	WROTE_METADATA=/srv/output/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_pythia.log	./logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_pythia.log	162	False	qcd_sampling_or_overlap_candidate
