sample_class	process_or_mode	campaign	proc_card_files	run_card_files	pythia_files	process_commands	run_card_settings	pythia_settings	forced_decay_candidates	qcd_sampling_candidates	process_fingerprint_sha256	run_card_normalized_fingerprint_sha256	pythia_normalized_fingerprint_sha256	combined_configuration_fingerprint_sha256	standard_configuration_complete	campaign_equivalence_authorized	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	1	1	3	8	44	23	0	0	781d7f8324120ba3dfe675be6db8341d028d74465847c021d9c892f20bc0ae77	5c4fe1d0ee6f81519df8554e3b25d781ea834a93f2652f22963f7567f5835849	e3636e2b6cd2bc9b22be407065c690662322eff5be6fc209e83cdf8f082eca6a	200bfcde94ae5c95a2ac8c87e28fedf4a96494c59f5f3870c2aa5bf531a35f7b	True	False	standard_configuration_fingerprint_complete
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	1	1	3	8	44	23	0	0	781d7f8324120ba3dfe675be6db8341d028d74465847c021d9c892f20bc0ae77	5c4fe1d0ee6f81519df8554e3b25d781ea834a93f2652f22963f7567f5835849	96fdbff0244e52517b81311678b7918b924ab1dc3f470fde599c38e28d9d4185	8ad8d1bd045c8d3680c52903d99062674f00c85a68564d5faa4282b595f619b2	True	False	standard_configuration_fingerprint_complete
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	1	1	3	8	33	25	0	0	d0d929c79cc0d2187ded937afda938c1d6a8c9dd2e53570def1f4404963465a3	a231a191c2b42d6711e94254a7d1d8db824546db5f525c7170bcbfc5c3c8869f	706e3798721c47033cde01396aaddd24e3c81bd992297664f215c5226d103ee4	fe0eca79892959640e90c2ba20c27a0e034e507fdc9e1d1f174e4e7a77488dd3	True	False	standard_configuration_fingerprint_complete
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	1	1	3	8	33	25	0	0	d0d929c79cc0d2187ded937afda938c1d6a8c9dd2e53570def1f4404963465a3	a231a191c2b42d6711e94254a7d1d8db824546db5f525c7170bcbfc5c3c8869f	ad2d458aa7797d4017a78c93f09f2790309a0d968b965e67e69b2a72854abd39	4903b96c436901c235b11c3b636e6fe046e5b05799055143216bcd6c5a0c6bd2	True	False	standard_configuration_fingerprint_complete
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	1	1	3	8	52	23	0	8	2146c016f56b7bad051fcf80b4a628ace32227a6b638ab38ecc9998741f1f081	7bdea0c081b82a63fbcf1c1ca5ee8d8253a8bfa259694abbd2edab1754f12372	841400569f8fb75fee81b559e79d19f4f3835767bfecfbb9266532cc770eb1ff	f0047c98e71401904d9e8b7a30046abaae88699f27ebc3783a7a976f555228a5	True	False	standard_configuration_fingerprint_complete
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	1	1	3	8	52	23	0	8	2146c016f56b7bad051fcf80b4a628ace32227a6b638ab38ecc9998741f1f081	7bdea0c081b82a63fbcf1c1ca5ee8d8253a8bfa259694abbd2edab1754f12372	64204b6d6b47283ea17996f4958e8b75a70ceb7283fa4ae0f395e7018cf87a66	8d8756c2030649dce43d1de6faad24b51c1d6a2037944cd8985c3db06b0d2c58	True	False	standard_configuration_fingerprint_complete
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	1	1	3	8	52	23	0	8	2146c016f56b7bad051fcf80b4a628ace32227a6b638ab38ecc9998741f1f081	0e0c3f6020ebd577bfd69246cdba9ecd551508124a272a4815ab93f35fc2066f	37e1311217975a7ce755ad5f1a5d75dc42216daa8a72e34ff723c423d066905a	0a0e72fb42743557cc2a341172e16ef8faa42f291034c963be05e3dec86e9ebd	True	False	standard_configuration_fingerprint_complete
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	1	1	3	8	52	23	0	8	2146c016f56b7bad051fcf80b4a628ace32227a6b638ab38ecc9998741f1f081	0e0c3f6020ebd577bfd69246cdba9ecd551508124a272a4815ab93f35fc2066f	8972c8255471f3b00b440b79b092e817c36ba0a27e1762adee277352f326ba4b	9ce6f02f15154e763893c8d7e13807aef109bb20aa498dfeff63167e8bb3c81d	True	False	standard_configuration_fingerprint_complete
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	0	0	1	0	0	6	0	27			cc55d2cde486e9b3b458f1d79bc96df652bd245f6aac025989073d2784c37d9b		False	False	nonstandard_or_incomplete_configuration_requires_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	0	0	1	0	0	6	0	27			4cd6387c67f8ad7868fce31d7d87150289dc01e87e82c5356ed95b1d619960f1		False	False	nonstandard_or_incomplete_configuration_requires_review
