k_lattice,feature,target_n,target_median,target_ci_lo,target_ci_hi,neighbor_n,neighbor_median,neighbor_ci_lo,neighbor_ci_hi,cliffs_delta
2,n_selected_jets,255,5.0,5.0,5.0,440,5.0,5.0,5.0,0.2050802139037433
2,n_btag_loose,255,2.0,2.0,2.0,440,2.0,2.0,2.0,0.1193048128342246
2,HT,255,459.48388671875,454.0907897949219,465.81121826171875,440,470.0069122314453,461.617431640625,477.6539404296875,-0.08087344028520499
2,mHH,255,557.2228844514292,537.4373572939246,568.8784472546365,440,559.3658978412911,546.5358912909376,571.8721006439002,-0.019019607843137255
2,RHH,255,88.81212221858769,81.86074149551384,96.15957468496306,440,93.00117594108565,90.48704634738917,95.74304718145777,-0.024385026737967913
2,pT_H1,255,170.80063658315046,163.5461252215278,176.93383746169778,440,185.3606153718438,180.19705221465142,189.64881836527317,-0.08750445632798574
2,pT_H2,255,142.35068967829608,135.68415360322993,145.4435853082123,440,154.71955233835786,150.13954676555795,157.23244278473848,-0.10183600713012478
2,jet1_pt,255,156.26034545898438,152.3083953857422,159.9376678466797,440,169.34136962890625,166.73147583007812,173.51447296142578,-0.13663101604278075
2,jet2_pt,255,108.18193817138672,106.31980895996094,111.92034149169922,440,117.41465377807617,113.28168487548828,119.84422302246094,-0.12438502673796792
2,DeltaR_bb_H1,255,1.9768892381313299,1.8972486284436487,2.033623587673127,440,2.0462996678770846,1.996544795735479,2.0815087079383443,-0.045454545454545456
2,DeltaR_bb_H2,255,1.8234108534817732,1.7011605952499398,1.8559693822258034,440,1.6399928262549148,1.5864593585462126,1.6898580656864843,0.06941176470588235
2,pt5,255,39.189598083496094,38.692481994628906,39.526702880859375,440,33.22196388244629,32.621376037597656,33.652931213378906,0.26844919786096255
2,min_dR_j5_leading4,255,1.087054396319321,1.0565142829037222,1.1510900846315513,440,1.1300446759297453,1.0987348400894383,1.1641217858640318,-0.027557932263814616
4,n_selected_jets,228,5.0,5.0,5.0,679,5.0,5.0,5.0,0.037193499211947395
4,n_btag_loose,228,2.0,2.0,2.0,679,2.0,2.0,2.0,0.020211611502984266
4,HT,228,471.4298400878906,460.42662048339844,487.71685791015625,679,463.43731689453125,458.42413330078125,467.7570495605469,0.03889879337519055
4,mHH,228,573.6927594738436,559.262669965401,599.728620674702,679,557.2228844514292,546.5358912909376,567.750034266123,0.038071984083921144
4,RHH,228,99.93555887962452,94.5972194065456,107.22371787543015,679,90.30196917643582,86.74386262846932,92.30538200265941,0.0707826266697672
4,pT_H1,228,175.23071108867495,170.2882976852537,179.6671171858898,679,182.39644521704264,179.7590180167073,184.68782388060328,-0.03706431026018655
4,pT_H2,228,147.87328019007361,143.8135062326195,155.2653150321322,679,150.28204564438383,146.6014079990684,153.01950027897365,0.0006717825491563961
4,jet1_pt,228,168.22380828857422,161.71803283691406,174.32666015625,679,163.3746337890625,161.2980194091797,166.99623107910156,0.02016639536986797
4,jet2_pt,228,115.50106048583984,111.20893859863281,119.20523071289062,679,113.235107421875,112.23311614990234,115.29169464111328,0.018357750045216132
4,DeltaR_bb_H1,228,2.131344482908597,2.0206907485790246,2.194752098775189,679,2.0002805447785597,1.9477072194966565,2.033623587673127,0.10807947704312328
4,DeltaR_bb_H2,228,1.7256315465597527,1.6557142657761834,1.839213225372649,679,1.674323416990185,1.6287478442996095,1.719345736194416,0.036211663178564966
4,pt5,228,35.14855194091797,34.01703643798828,36.71248245239258,679,34.41239547729492,33.7889404296875,34.87550735473633,0.03953827868640674
4,min_dR_j5_leading4,228,1.137838444973045,1.0860581440571075,1.183109010612302,679,1.1107773166554928,1.087054396319321,1.1380675910537312,-0.000620106968452058
