frac_of_final_selected,n_files_done,n_files_total,cum_selected_events,cum_generated_events_approx,n_qcd_survivors_u35,n_qcd_survivors_u45,rate_u35_per_1e9_generated,rate_u45_per_1e9_generated,running_weight_450fb,running_B_u35,running_B_u45
0.125,70,557,11006321.0,35000000000.0,12,3,0.34285714285714286,0.08571428571428572,58.14771428571429,697.7725714285714,174.44314285714285
0.25,140,557,22019593.0,70000000000.0,18,4,0.2571428571428571,0.05714285714285715,29.073857142857143,523.3294285714286,116.29542857142857
0.375,209,557,32874786.0,104486211864.18323,23,5,0.22012473789265735,0.047853203889708124,19.477880992043456,447.9912628169995,97.38940496021728
0.5,279,557,43882316.0,139444616933.73853,36,6,0.2581670113311475,0.04302783522185792,14.594826568078098,525.4137564508115,87.56895940846859
0.625,349,557,54915395.0,174484162122.02368,45,8,0.2579030638238084,0.04584943356867704,11.663923964495558,524.8765784023001,93.31139171596446
0.75,418,557,65778336.0,208983372364.8919,53,11,0.2536086933627439,0.05263576654698458,9.738430273038784,516.1368044710555,107.12273300342662
0.875,488,557,76801041.0,243989971152.46832,59,12,0.24181321765529104,0.04918234935361852,8.341203494500316,492.1310061755187,100.0944419340038
1.0,557,557,87623306.0,278360000000.0,68,12,0.244287972409829,0.04310964218996982,7.3112875413134075,497.1675528093117,87.73545049576089
