threshold,n_signal,n_qcd,n_ttbar,n_all_background,n_total_tail,n_distinct_float32_probabilities,n_distinct_delta,n_distinct_u_logit,n_exact_score_eq_1p0,fraction_events_in_fp32_tie,max_multiplicity_one_stored_probability
0.9999,7930,0,0,0,7930,766,7925,7925,67,0.9848675914249685,113
0.99999,4400,0,0,0,4400,84,4398,4398,67,1.0,113
