threshold,n_signal,n_qcd,n_ttbar,n_all_background,n_total_tail,n_distinct_float32_probabilities,n_distinct_delta,n_distinct_u_logit,n_exact_score_eq_1p0,fraction_events_in_fp32_tie,max_multiplicity_one_stored_probability
0.9997,9170,0,0,0,9170,1637,9164,9164,67,0.9236641221374046,113
0.99997,6368,0,0,0,6368,252,6363,6363,67,1.0,113
