process,path,candidate_rows,mg5_xsec_fb,official_whatif_xsec_fb,scale_official_over_mg5
ggF,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/HH4b_ggf_hh4b_1k_transfer_test_cluster_3474222_merged_1k_hh4b_candidates.parquet,64,0.99443,10.55,10.609092646038434
VBF,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/HH4b_vbf_hh4b_10k_transfer_cluster_3473183_merged_10k_hh4b_candidates.parquet,694,0.944887,0.587,0.621238306802824
