baseline	role	variable	operator	threshold_GeV	selected_signal_rows	selected_background_rows	weighted_signal_efficiency	weighted_background_efficiency	weighted_background_rejection_fraction	weighted_inverse_background_efficiency	raw_signal_efficiency	raw_background_efficiency	raw_background_rejection_fraction	raw_inverse_background_efficiency	balanced_efficiency_proxy	purity_proxy	weighted_signal_mode_efficiencies	weighted_background_family_efficiencies	physical_normalization	status
cms_reference_rhh30	published_reference_geometry	r_hh_125_120	less_than	30.0	5103	8126	0.5459552768532467	0.19941814395502427	0.8005818560449758	5.014588844160213	0.5465352897076149	0.1854192812321734	0.8145807187678266	5.393182377553532	1.222572810522598	2.7377412407186914	"{""ggf_hh4b"": 0.5686096345600306, ""vbf_hh4b"": 0.5233009191464627}"	"{""diboson"": 0.125, ""qcd_multijet"": 0.15288782177345495, ""single_higgs"": 0.15629978814365855, ""single_top"": 0.21287610738075136, ""top_associated"": 0.25460466743401533, ""triboson"": 0.16666666666666666, ""ttbar"": 0.28659576103096757, ""zbbbb"": 0.24041433921068003}"	False	pass
optimized_nominal_rhh34	frozen_train_only_nominal	r_hh_125_120	less_than	34.0	5758	9971	0.6156418377159854	0.24969606481203402	0.750303935187966	4.004868882306091	0.6166863018100032	0.2275185396463206	0.7724814603536794	4.39524621402066	1.2320328194455596	2.4655648385144864	"{""ggf_hh4b"": 0.6385429338472695, ""vbf_hh4b"": 0.5927407415847012}"	"{""diboson"": 0.125, ""qcd_multijet"": 0.18506045496585014, ""single_higgs"": 0.2691073801701384, ""single_top"": 0.2640456980240262, ""top_associated"": 0.30161012393760167, ""triboson"": 0.1992291334396597, ""ttbar"": 0.3502224560974067, ""zbbbb"": 0.30329327186158955}"	False	pass
higher_purity_rhh31p5	frozen_rounded_alternative	r_hh_125_120	less_than	31.5	5366	8818	0.5737189962283727	0.2151074241371972	0.7848925758628028	4.648840011036496	0.5747027953304059	0.2012093553907587	0.7987906446092413	4.969947833975958	1.2370052135836018	2.667127824758156	"{""ggf_hh4b"": 0.5963636750798141, ""vbf_hh4b"": 0.5510743173769314}"	"{""diboson"": 0.125, ""qcd_multijet"": 0.1611694862882882, ""single_higgs"": 0.18493964452048284, ""single_top"": 0.2298978283498407, ""top_associated"": 0.27206036839247877, ""triboson"": 0.17727272727272728, ""ttbar"": 0.3067347839601888, ""zbbbb"": 0.26378455431357123}"	False	pass
higher_efficiency_rhh35p5	frozen_rounded_alternative	r_hh_125_120	less_than	35.5	5977	10667	0.6389752352864998	0.2639689876490516	0.7360310123509484	3.7883238061643296	0.6401413730320231	0.2433998859098688	0.7566001140901312	4.108465360457486	1.2436769151869527	2.420645095385301	"{""ggf_hh4b"": 0.6636231682338017, ""vbf_hh4b"": 0.6143273023391979}"	"{""diboson"": 0.125, ""qcd_multijet"": 0.19205106185160223, ""single_higgs"": 0.27939988731777254, ""single_top"": 0.27926020487939995, ""top_associated"": 0.3162004241670653, ""triboson"": 0.21815523657628924, ""ttbar"": 0.3720427235166222, ""zbbbb"": 0.3296423628836616}"	False	pass
