member_index	sample_class	stratum	candidate_rows	weight_eligibility	candidate_bearing_members_in_stratum	hierarchical_stratum_fraction	hierarchical_member_fraction	per_row_raw_weight	per_row_training_weight	aggregate_raw_weight	aggregate_training_weight	status
0	background	single_higgs	344	candidate_bearing_member	18	0.0625	0.003472222222222222	1.0093669250645994e-05	0.5365996447028425	0.003472222222222222	184.5902777777778	pass
1	background	single_higgs	334	candidate_bearing_member	18	0.0625	0.003472222222222222	1.0395874916833001e-05	0.5526655023286761	0.003472222222222222	184.5902777777778	pass
2	background	single_higgs	334	candidate_bearing_member	18	0.0625	0.003472222222222222	1.0395874916833001e-05	0.5526655023286761	0.003472222222222222	184.5902777777778	pass
3	background	single_higgs	7	candidate_bearing_member	18	0.0625	0.003472222222222222	0.000496031746031746	26.370039682539687	0.003472222222222222	184.5902777777778	pass
4	background	single_higgs	1	candidate_bearing_member	18	0.0625	0.003472222222222222	0.003472222222222222	184.5902777777778	0.003472222222222222	184.5902777777778	pass
5	background	single_higgs	7	candidate_bearing_member	18	0.0625	0.003472222222222222	0.000496031746031746	26.370039682539687	0.003472222222222222	184.5902777777778	pass
6	background	single_higgs	6	candidate_bearing_member	18	0.0625	0.003472222222222222	0.0005787037037037037	30.7650462962963	0.003472222222222222	184.5902777777778	pass
7	background	single_higgs	3	candidate_bearing_member	18	0.0625	0.003472222222222222	0.0011574074074074073	61.5300925925926	0.003472222222222222	184.5902777777778	pass
8	background	single_higgs	6	candidate_bearing_member	18	0.0625	0.003472222222222222	0.0005787037037037037	30.7650462962963	0.003472222222222222	184.5902777777778	pass
9	background	single_higgs	2	candidate_bearing_member	18	0.0625	0.003472222222222222	0.001736111111111111	92.2951388888889	0.003472222222222222	184.5902777777778	pass
10	background	single_higgs	6	candidate_bearing_member	18	0.0625	0.003472222222222222	0.0005787037037037037	30.7650462962963	0.003472222222222222	184.5902777777778	pass
11	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
12	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
13	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
14	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
15	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
16	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
17	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
18	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
19	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
20	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
21	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
22	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
23	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
24	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
25	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
26	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
27	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
28	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
29	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
30	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
31	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
32	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
33	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
34	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
35	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
36	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
37	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
38	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
39	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
40	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
41	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
42	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
43	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
44	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
45	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
46	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
47	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
48	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
49	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
50	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
51	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
52	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
53	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
54	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
55	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
56	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
57	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
58	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
59	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
60	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
61	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
62	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
63	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
64	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
65	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
66	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
67	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
68	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
69	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
70	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
71	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
72	background	qcd_multijet	1	candidate_bearing_member	47	0.0625	0.0013297872340425532	0.0013297872340425532	70.69414893617022	0.0013297872340425532	70.69414893617022	pass
73	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
74	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
75	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
76	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
77	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
78	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
79	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
80	background	qcd_multijet	0	no_candidate_rows_not_row_weightable	47	0.0625	0.0	0.0	0.0	0.0	0.0	pass
