category	feature_order	feature	feature_origin	rows	finite_rows	nonfinite_rows	missing_rows	minimum	maximum	mean	standard_deviation	unique_values	constant	status
low_mhh	38	dr_j2_j3	cms_inspired_derived	28164	28164	0	0	0.398313322025	4.93968961671	2.02654144117	0.841485847181	28164	false	pass
low_mhh	39	dr_j2_j4	cms_inspired_derived	28164	28164	0	0	0.396691941791	5.08118482249	2.05353943597	0.853701898541	28164	false	pass
low_mhh	40	dr_j3_j4	cms_inspired_derived	28164	28164	0	0	0.388477717005	5.08571319763	2.09809654142	0.866659381573	28164	false	pass
low_mhh	41	min_candidate_pair_dr	cms_inspired_derived	28164	28164	0	0	0.388477717005	2.83034838492	0.957235229625	0.389533350455	28164	false	pass
low_mhh	42	max_candidate_pair_dr	cms_inspired_derived	28164	28164	0	0	0.843294464381	5.08571319763	3.09715379359	0.432196375705	28164	false	pass
low_mhh	43	mean_candidate_pair_dr	cms_inspired_derived	28164	28164	0	0	0.577446954873	3.41909236803	2.11185206921	0.320075829006	28164	false	pass
low_mhh	44	min_cross_higgs_pair_dr	cms_inspired_derived	28164	28164	0	0	0.388477717005	3.77375988346	1.13958403527	0.583375335582	28164	false	pass
low_mhh	45	max_cross_higgs_pair_dr	cms_inspired_derived	28164	28164	0	0	0.723396557869	5.08571319763	2.97873865929	0.491709651187	28164	false	pass
low_mhh	46	candidate_vector_pt_sum	cms_inspired_derived	28164	28164	0	0	0.668005608126	1077.36583035	98.1121816459	84.2048668048	28164	false	pass
low_mhh	47	cos_theta_star_h1_in_hh_rest	cms_inspired_derived	28164	28164	0	0	-0.997236851683	0.999988837797	0.244005224706	0.547935105167	28164	false	pass
low_mhh	48	abs_cos_theta_star_h1_in_hh_rest	cms_inspired_derived	28164	28164	0	0	6.17855098316e-06	0.999988837797	0.523146497144	0.293409563042	28164	false	pass
low_mhh	49	cos_theta_j1_in_h1_rest	cms_inspired_derived	28164	28164	0	0	-0.865227837543	0.999853542103	0.345267896534	0.371441995937	28164	false	pass
low_mhh	50	abs_cos_theta_j1_in_h1_rest	cms_inspired_derived	28164	28164	0	0	3.24300623097e-07	0.999853542103	0.434577423339	0.261383893626	28164	false	pass
low_mhh	51	cos_theta_j_h2_leading_in_h2_rest	cms_inspired_derived	28164	28164	0	0	-0.900086833787	0.999334348495	0.298142299222	0.412125808366	28164	false	pass
low_mhh	52	abs_cos_theta_j_h2_leading_in_h2_rest	cms_inspired_derived	28164	28164	0	0	3.05215376281e-05	0.999334348495	0.436001444792	0.261990940006	28164	false	pass
high_mhh	1	n_selected_jets	frozen_bdt_v1	29162	29162	0	0	4	18	6.01066456347	2.04757625617	14	false	pass
high_mhh	2	n_selected_bjets	frozen_bdt_v1	29162	29162	0	0	4	8	4.07557780673	0.286005489055	5	false	pass
