plot_path	paired_path	plot_name	variables	category	sample_scope	normalization	binning	axis_limits	latex_labels	style_helper_path	style_helper_sha256	cms_inspired_style_applied	official_cms_status_claimed	dpi	format	bytes	status
plots/train_mhh_category_population.png	plots/train_mhh_category_population.pdf	train_mhh_category_population	"[""mhh"",""category""]"	low_mhh_and_high_mhh	raw_canonical_train_candidates	none_raw_counts	60 uniform bins in [200.0,1500.0] GeV	"{""x"":[200.0,1500.0],""y"":""automatic""}"	"[""$m_{HH}$"",""$m_{HH}=450\\,\\mathrm{GeV}$""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PNG	93676	pass
plots/train_mhh_category_population.pdf	plots/train_mhh_category_population.png	train_mhh_category_population	"[""mhh"",""category""]"	low_mhh_and_high_mhh	raw_canonical_train_candidates	none_raw_counts	60 uniform bins in [200.0,1500.0] GeV	"{""x"":[200.0,1500.0],""y"":""automatic""}"	"[""$m_{HH}$"",""$m_{HH}=450\\,\\mathrm{GeV}$""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PDF	24168	pass
plots/train_mhh_by_target.png	plots/train_mhh_by_target.pdf	train_mhh_by_target	"[""mhh"",""training_target"",""development_weight""]"	all_train	canonical_train_signal_and_background	development_weighted_unit_density_not_physical	60 uniform bins in [200.0,1500.0] GeV	"{""x"":[200.0,1500.0],""y"":""automatic""}"	"[""$m_{HH}$""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PNG	124636	pass
plots/train_mhh_by_target.pdf	plots/train_mhh_by_target.png	train_mhh_by_target	"[""mhh"",""training_target"",""development_weight""]"	all_train	canonical_train_signal_and_background	development_weighted_unit_density_not_physical	60 uniform bins in [200.0,1500.0] GeV	"{""x"":[200.0,1500.0],""y"":""automatic""}"	"[""$m_{HH}$""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PDF	27239	pass
plots/train_mhh_by_signal_mode.png	plots/train_mhh_by_signal_mode.pdf	train_mhh_by_signal_mode	"[""mhh"",""signal_mode"",""development_weight""]"	all_train_signal	canonical_train_signal	development_weighted_unit_density_not_physical	60 uniform bins in [200.0,1500.0] GeV	"{""x"":[200.0,1500.0],""y"":""automatic""}"	"[""$m_{HH}$"",""ggF $HH$"",""VBF $HH$""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PNG	102713	pass
plots/train_mhh_by_signal_mode.pdf	plots/train_mhh_by_signal_mode.png	train_mhh_by_signal_mode	"[""mhh"",""signal_mode"",""development_weight""]"	all_train_signal	canonical_train_signal	development_weighted_unit_density_not_physical	60 uniform bins in [200.0,1500.0] GeV	"{""x"":[200.0,1500.0],""y"":""automatic""}"	"[""$m_{HH}$"",""ggF $HH$"",""VBF $HH$""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PDF	26609	pass
plots/train_mhh_by_background_family.png	plots/train_mhh_by_background_family.pdf	train_mhh_by_background_family	"[""mhh"",""background_family"",""development_weight""]"	all_train_background	canonical_train_background	development_weighted_unit_density_not_physical	60 uniform bins in [200.0,1500.0] GeV	"{""x"":[200.0,1500.0],""y"":""automatic""}"	"[""$m_{HH}$"",""$t\\bar{t}$"",""$t\\bar{t}H$""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PNG	143115	pass
plots/train_mhh_by_background_family.pdf	plots/train_mhh_by_background_family.png	train_mhh_by_background_family	"[""mhh"",""background_family"",""development_weight""]"	all_train_background	canonical_train_background	development_weighted_unit_density_not_physical	60 uniform bins in [200.0,1500.0] GeV	"{""x"":[200.0,1500.0],""y"":""automatic""}"	"[""$m_{HH}$"",""$t\\bar{t}$"",""$t\\bar{t}H$""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PDF	31673	pass
plots/category_fold_composition.png	plots/category_fold_composition.pdf	category_fold_composition	"[""fold"",""category""]"	low_mhh_and_high_mhh	raw_canonical_train_candidates	none_raw_counts	five frozen member-grouped folds	"{""x"":[-0.5,4.5],""y"":""automatic""}"	"[""low $m_{HH}$"",""high $m_{HH}$""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PNG	95057	pass
plots/category_fold_composition.pdf	plots/category_fold_composition.png	category_fold_composition	"[""fold"",""category""]"	low_mhh_and_high_mhh	raw_canonical_train_candidates	none_raw_counts	five frozen member-grouped folds	"{""x"":[-0.5,4.5],""y"":""automatic""}"	"[""low $m_{HH}$"",""high $m_{HH}$""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PDF	23843	pass
