category	fold	composition_level	component	training_target	rows	source_members	development_weight_sum	absence_recorded	required_in_every_fold	status
high_mhh	1	binary_target	background	0	4956	37	2301.65212914	false	true	pass
high_mhh	1	signal_mode	ggf_hh4b	1	199	16	581.207345225	false	false	pass
high_mhh	1	signal_mode	vbf_hh4b	1	571	2	1634.66871498	false	false	pass
high_mhh	1	background_family	diboson	0	1	1	447.859375	false	false	pass
high_mhh	1	background_family	qcd_multijet	0	2723	11	490.834561173	false	false	pass
high_mhh	1	background_family	single_higgs	0	105	1	52.0766715116	false	false	pass
high_mhh	1	background_family	single_top	0	12	3	190.776461039	false	false	pass
high_mhh	1	background_family	top_associated	0	1652	2	244.190865191	false	false	pass
high_mhh	1	background_family	triboson	0	19	3	446.583422365	false	false	pass
high_mhh	1	background_family	ttbar	0	129	12	236.5667446	false	false	pass
high_mhh	1	background_family	zbbbb	0	315	4	192.764028259	false	false	pass
high_mhh	2	binary_target	signal	1	472	17	1341.05628524	false	true	pass
high_mhh	2	binary_target	background	0	5137	40	2621.86262775	false	true	pass
high_mhh	2	signal_mode	ggf_hh4b	1	195	16	571.710258112	false	false	pass
high_mhh	2	signal_mode	vbf_hh4b	1	277	1	769.346027132	false	false	pass
high_mhh	2	background_family	diboson	0	1	1	447.859375	false	false	pass
high_mhh	2	background_family	qcd_multijet	0	2822	13	697.824942072	false	false	pass
high_mhh	2	background_family	single_higgs	0	87	1	44.441135586	false	false	pass
high_mhh	2	background_family	single_top	0	19	5	542.061525178	false	false	pass
high_mhh	2	background_family	top_associated	0	1743	2	258.509807429	false	false	pass
high_mhh	2	background_family	triboson	0	9	2	165.873842593	false	false	pass
high_mhh	2	background_family	ttbar	0	147	12	274.844887833	false	false	pass
high_mhh	2	background_family	zbbbb	0	309	4	190.447112062	false	false	pass
high_mhh	3	binary_target	signal	1	758	18	2186.23182534	false	true	pass
high_mhh	3	binary_target	background	0	5716	44	3617.04101134	false	true	pass
high_mhh	3	signal_mode	ggf_hh4b	1	187	16	550.476546253	false	false	pass
high_mhh	3	signal_mode	vbf_hh4b	1	571	2	1635.75527908	false	false	pass
high_mhh	3	background_family	diboson	0	1	1	895.71875	false	false	pass
high_mhh	3	background_family	qcd_multijet	0	3419	3	166.9627761	false	false	pass
high_mhh	3	background_family	single_higgs	0	41	16	1230.85161565	false	false	pass
high_mhh	3	background_family	single_top	0	16	4	307.94371167	false	false	pass
high_mhh	3	background_family	top_associated	0	1781	2	261.44187213	false	false	pass
high_mhh	3	background_family	triboson	0	15	2	315.160300926	false	false	pass
high_mhh	3	background_family	ttbar	0	134	12	249.76011069	false	false	pass
high_mhh	3	background_family	zbbbb	0	309	4	189.201874175	false	false	pass
high_mhh	4	binary_target	signal	1	474	17	1284.8598843	false	true	pass
high_mhh	4	binary_target	background	0	5001	34	2076.9752017	false	true	pass
high_mhh	4	signal_mode	ggf_hh4b	1	170	16	496.731085453	false	false	pass
high_mhh	4	signal_mode	vbf_hh4b	1	304	1	788.128798842	false	false	pass
high_mhh	4	background_family	diboson	0	0	0	0	true	false	recorded_absence
high_mhh	4	background_family	qcd_multijet	0	3426	3	167.838398302	false	false	pass
high_mhh	4	background_family	single_higgs	0	98	1	46.5740482823	false	false	pass
high_mhh	4	background_family	single_top	0	17	4	324.975645661	false	false	pass
high_mhh	4	background_family	top_associated	0	1011	7	621.466540089	false	false	pass
high_mhh	4	background_family	triboson	0	15	3	494.304050926	false	false	pass
high_mhh	4	background_family	ttbar	0	125	12	233.525191798	false	false	pass
high_mhh	4	background_family	zbbbb	0	309	4	188.291326644	false	false	pass
