model	seed	working_point_type	target_epsilon_S	target_epsilon_B	realized_epsilon_S	realized_epsilon_B	R_B_rejection	raw_background_rows	qcd_raw_rows	qcd_Neff	scientifically_supportable
dnn	20260811	fixed_epsilon_S	0.6		0.6000022065800217	0.1880234387066473	5.318485859415601	178953	6388	1357.027609030349	True
dnn	20260811	fixed_epsilon_S	0.585957		0.5859573247423818	0.176961814913229	5.650936618673	168425	5904	1246.0165730517765	True
dnn	20260811	fixed_epsilon_S	0.5		0.5	0.1224017844853581	8.16981553173043	116497	3925	776.612061674003	True
dnn	20260811	fixed_epsilon_S	0.4		0.3999977934199784	0.075570601381232	13.232659019812305	71925	2296	404.5358407564037	True
dnn	20260811	fixed_epsilon_S	0.25		0.2500055164500541	0.0298668045166896	33.48198832055161	28426	881	123.57818416759028	True
dnn	20260811	fixed_epsilon_S	0.1		0.1000022065800216	0.005790331375905	172.70168753402285	5511	208	19.796309574592154	True
dnn	20260811	fixed_epsilon_B		0.1	0.4559676956684834	0.100000105068615	9.999989493149531	95176	3134	580.9043841931327	True
dnn	20260811	fixed_epsilon_B		0.01	0.1366645336393124	0.0100004307813217	99.99569237234714	9518	345	41.69336775459176	True
dnn	20260811	fixed_epsilon_B		0.001	0.0354928396478298	0.0010002532153622	999.7468487394958	952	73	2.190317190720207	False
dnn	20260811	fixed_epsilon_B		0.0001	0.0086277278845517	9.981518430611112e-05	10018.515789473684	95	15	2.0285679308210414	False
cmstransformer	20260811	fixed_epsilon_S	0.6		0.6000022065800217	0.1776962445324919	5.627580946524444	169124	8047	1333.2949512111484	True
cmstransformer	20260811	fixed_epsilon_S	0.585957		0.5859573247423818	0.1682222075126161	5.944518353351197	160107	7570	1246.7549840864854	True
cmstransformer	20260811	fixed_epsilon_S	0.5		0.5	0.1152350542521793	8.677914949487581	109676	5107	756.2238283748337	True
cmstransformer	20260811	fixed_epsilon_S	0.4		0.3999977934199784	0.072023484936838	13.884360092780346	68549	2990	399.6452707543656	True
cmstransformer	20260811	fixed_epsilon_S	0.25		0.2500055164500541	0.0298079660922565	33.54807895664434	28370	1085	147.32454958670309	True
cmstransformer	20260811	fixed_epsilon_S	0.1		0.1000022065800216	0.0059826069414631	167.15121180189672	5694	157	28.30288213821427	True
cmstransformer	20260811	fixed_epsilon_B		0.1	0.4683024779893643	0.100000105068615	9.999989493149531	95176	4334	626.3656498173183	True
cmstransformer	20260811	fixed_epsilon_B		0.01	0.1339394073126062	0.0100004307813217	99.99569237234714	9518	272	50.92034058557759	True
cmstransformer	20260811	fixed_epsilon_B		0.001	0.0314658311083651	0.0010002532153622	999.7468487394958	952	23	6.5581517831631855	False
cmstransformer	20260811	fixed_epsilon_B		0.0001	0.0061122266598998	9.981518430611112e-05	10018.515789473684	95	2	1.1345006596982308	False
