population	stage1_low	stage1_high	stage2_low	stage2_high	central_value	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind
Signal	0.0	0.041666666666666664	0.0	0.041666666666666664	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.041666666666666664	0.08333333333333333	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.08333333333333333	0.125	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.125	0.16666666666666666	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.16666666666666666	0.20833333333333331	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.20833333333333331	0.25	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.25	0.29166666666666663	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.29166666666666663	0.3333333333333333	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.3333333333333333	0.375	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.375	0.41666666666666663	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.41666666666666663	0.4583333333333333	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.4583333333333333	0.5	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.5	0.5416666666666666	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.5416666666666666	0.5833333333333333	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.5833333333333333	0.625	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.625	0.6666666666666666	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.6666666666666666	0.7083333333333333	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.7083333333333333	0.75	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.75	0.7916666666666666	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.7916666666666666	0.8333333333333333	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.8333333333333333	0.875	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.875	0.9166666666666666	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.9166666666666666	0.9583333333333333	2.0	2.0			0	not_applicable	not_applicable_diagnostic
Signal	0.0	0.041666666666666664	0.9583333333333333	1.0	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.0	0.041666666666666664	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.041666666666666664	0.08333333333333333	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.08333333333333333	0.125	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.125	0.16666666666666666	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.16666666666666666	0.20833333333333331	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.20833333333333331	0.25	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.25	0.29166666666666663	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.29166666666666663	0.3333333333333333	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.3333333333333333	0.375	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.375	0.41666666666666663	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.41666666666666663	0.4583333333333333	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.4583333333333333	0.5	1.0	1.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.5	0.5416666666666666	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.5416666666666666	0.5833333333333333	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.5833333333333333	0.625	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.625	0.6666666666666666	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.6666666666666666	0.7083333333333333	0.0	0.0			0	not_applicable	not_applicable_diagnostic
Signal	0.041666666666666664	0.08333333333333333	0.7083333333333333	0.75	0.0	0.0			0	not_applicable	not_applicable_diagnostic
