category	metric	variant	nominal_full_oof	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind
0	systematic_aware_ZA_standalone_contribution	mass_aware	0.0	1.3860398892355828e-06	0.0	1.5932239447160025e-06	0.0	3.2708113318454115e-06	0.0	3.8161741515843705e-06	1000	0	{}	0.0	0.0	3.2708113318454115e-06	1000	True	common_paired_source_member_bootstrap_p16_p84
1	systematic_aware_ZA_standalone_contribution	mass_aware	1.1891291963032254e-05	1.0986544334282956e-05	1.154804010830281e-05	7.735572799099579e-06	0.0	1.6547071424213623e-05	0.0	2.766547303509231e-05	1000	0	{}	1.154804010830281e-05	0.0	1.6547071424213623e-05	1000	True	common_paired_source_member_bootstrap_p16_p84
2	systematic_aware_ZA_standalone_contribution	mass_aware	5.6656956313522435e-06	9.38306193933969e-06	7.741788765375937e-06	7.049969388081089e-06	3.926870580198589e-06	1.4859615656439511e-05	0.0	2.506859347952974e-05	1000	0	{}	7.741788765375937e-06	3.926870580198589e-06	1.4859615656439511e-05	1000	True	common_paired_source_member_bootstrap_p16_p84
3	systematic_aware_ZA_standalone_contribution	mass_aware	1.9349011713005275e-05	2.2350230092451326e-05	1.9936583264651106e-05	1.390637127802657e-05	1.2595659288854996e-05	3.099394525137395e-05	9.88214443115225e-06	4.7274350311847843e-05	1000	0	{}	1.9936583264651106e-05	1.2595659288854996e-05	3.099394525137395e-05	1000	True	common_paired_source_member_bootstrap_p16_p84
4	systematic_aware_ZA_standalone_contribution	mass_aware	3.7861440245502145e-05	0.00011822929567464042	4.011937876835602e-05	0.0010703099189917752	2.353976574839056e-05	8.002206025395851e-05	1.4154677222714133e-05	0.00030338706886497916	1000	0	{}	4.011937876835602e-05	2.353976574839056e-05	8.002206025395851e-05	1000	True	common_paired_source_member_bootstrap_p16_p84
5	systematic_aware_ZA_standalone_contribution	mass_aware	4.528869970750482e-05	5.04267334870245e-05	4.677410716633234e-05	1.8230912695030108e-05	3.493554090878739e-05	6.391974887385253e-05	2.6842152574352632e-05	9.869585937991699e-05	1000	0	{}	4.677410716633234e-05	3.493554090878739e-05	6.391974887385253e-05	1000	True	common_paired_source_member_bootstrap_p16_p84
