category	metric	nominal_full_oof	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind
0	background_rows	15818.0	15788.646	15709.5	2302.8755608005686	13525.52	18049.84	11423.025	20334.449999999997	1000	0	{}	15709.5	13525.52	18049.84	1000	True	common_paired_source_member_bootstrap_p16_p84
1	background_rows	1939.0	1952.487	1924.5	385.222159205494	1594.84	2338.0	1238.8	2744.1499999999996	1000	0	{}	1924.5	1594.84	2338.0	1000	True	common_paired_source_member_bootstrap_p16_p84
2	background_rows	778.0	779.607	774.0	109.81822523421872	671.0	888.16	581.0	1009.025	1000	0	{}	774.0	671.0	888.16	1000	True	common_paired_source_member_bootstrap_p16_p84
3	background_rows	917.0	914.983	911.5	114.45518205699426	805.0	1028.0	697.975	1141.025	1000	0	{}	911.5	805.0	1028.0	1000	True	common_paired_source_member_bootstrap_p16_p84
4	background_rows	870.0	865.719	863.0	110.17374593474297	752.84	975.0	664.825	1082.025	1000	0	{}	863.0	752.84	975.0	1000	True	common_paired_source_member_bootstrap_p16_p84
5	background_rows	1566.0	1561.144	1556.0	130.11516137337424	1434.0	1684.0	1328.0	1843.1	1000	0	{}	1556.0	1434.0	1684.0	1000	True	common_paired_source_member_bootstrap_p16_p84
0	transferred_rows	458.0	460.316	453.0	88.31779082481725	369.84000000000003	547.3199999999999	309.9	656.025	1000	0	{}	453.0	369.84000000000003	547.3199999999999	1000	True	common_paired_source_member_bootstrap_p16_p84
1	transferred_rows	33.0	32.556	32.0	9.016216288230677	23.840000000000003	42.0	16.0	51.0	1000	0	{}	32.0	23.840000000000003	42.0	1000	True	common_paired_source_member_bootstrap_p16_p84
2	transferred_rows	13.0	13.088	13.0	3.464138602344926	10.0	17.0	7.0	20.0	1000	0	{}	13.0	10.0	17.0	1000	True	common_paired_source_member_bootstrap_p16_p84
3	transferred_rows	22.0	21.904	21.0	6.158791660278395	16.0	28.0	11.0	35.0	1000	0	{}	21.0	16.0	28.0	1000	True	common_paired_source_member_bootstrap_p16_p84
4	transferred_rows	13.0	13.251	13.0	4.557495997778799	9.0	18.0	5.0	23.0	1000	0	{}	13.0	9.0	18.0	1000	True	common_paired_source_member_bootstrap_p16_p84
5	transferred_rows	37.0	37.713	37.0	11.00107515903126	27.0	48.0	19.0	61.0	1000	0	{}	37.0	27.0	48.0	1000	True	common_paired_source_member_bootstrap_p16_p84
0	direct_qcd_rows	38.0	38.664	38.0	12.018383649457425	27.0	50.0	18.0	65.02499999999998	1000	0	{}	38.0	27.0	50.0	1000	True	common_paired_source_member_bootstrap_p16_p84
1	direct_qcd_rows	5.0	5.04	5.0	2.241746066222806	3.0	7.0	1.0	10.0	1000	0	{}	5.0	3.0	7.0	1000	True	common_paired_source_member_bootstrap_p16_p84
2	direct_qcd_rows	2.0	2.077	2.0	1.3823827190694993	1.0	4.0	0.0	5.0	1000	0	{}	2.0	1.0	4.0	1000	True	common_paired_source_member_bootstrap_p16_p84
3	direct_qcd_rows	4.0	4.258	4.0	2.448557010043146	2.0	7.0	0.0	10.0	1000	0	{}	4.0	2.0	7.0	1000	True	common_paired_source_member_bootstrap_p16_p84
4	direct_qcd_rows	1.0	0.984	1.0	0.9842320421083195	0.0	2.0	0.0	3.0	1000	0	{}	1.0	0.0	2.0	1000	True	common_paired_source_member_bootstrap_p16_p84
5	direct_qcd_rows	6.0	5.849	5.0	3.3183143627767113	2.0	9.0	1.0	13.0	1000	0	{}	5.0	2.0	9.0	1000	True	common_paired_source_member_bootstrap_p16_p84
