variant	category_count	metric	nominal_full_oof	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind
mass_aware	2	combined_nominal_asimov_ZA	0.06487029823642303	0.06546968711494199	0.06496479595322516	0.005514400155960565	0.060057855529276366	0.07071873293836016	0.05635594902964503	0.07726920040583449	1000	0	{}	0.06496479595322516	0.060057855529276366	0.07071873293836016	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_aware	3	combined_nominal_asimov_ZA	0.06462676561409443	0.06617584911348638	0.0657317483846909	0.006481618460486477	0.059611555749373636	0.07234717122217965	0.05588416029391238	0.08110134507970682	1000	0	{}	0.0657317483846909	0.059611555749373636	0.07234717122217965	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_aware	4	combined_nominal_asimov_ZA	0.07166792611086664	0.07406388454906	0.07316384666810818	0.007828509808379264	0.06660698219445373	0.08185473823522382	0.06172949754277951	0.09272546278010993	1000	0	{}	0.07316384666810818	0.06660698219445373	0.08185473823522382	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_aware	5	combined_nominal_asimov_ZA	0.06903795216125722	0.07139799236789418	0.07052010619961674	0.007262035958981031	0.0642697641617063	0.07832178555512817	0.06006304090088006	0.08797685165732752	1000	0	{}	0.07052010619961674	0.0642697641617063	0.07832178555512817	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_aware	6	combined_nominal_asimov_ZA	0.06704205574003064	0.07055863040341628	0.06954408805977144	0.008017362481044281	0.06286836734905951	0.07762660485930162	0.05833623100663878	0.090870780506598	1000	0	{}	0.06954408805977144	0.06286836734905951	0.07762660485930162	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_plane_blind	2	combined_nominal_asimov_ZA	0.0658903580798102	0.06650376271033819	0.06597568410761992	0.005025811639910964	0.06160026938693938	0.07152618092505167	0.05772596300099764	0.07690019831038977	1000	0	{}	0.06597568410761992	0.06160026938693938	0.07152618092505167	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_plane_blind	3	combined_nominal_asimov_ZA	0.06609800501388449	0.0674758753778851	0.06685372781481258	0.005415836480087789	0.06223142685754069	0.07273942151023802	0.05811285607309892	0.07892505056252123	1000	0	{}	0.06685372781481258	0.06223142685754069	0.07273942151023802	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_plane_blind	4	combined_nominal_asimov_ZA	0.06640260907089013	0.06842108801641675	0.06763463493278399	0.005861709794973037	0.06276201261369412	0.07439843228158118	0.05891323296453852	0.08189876132602994	1000	0	{}	0.06763463493278399	0.06276201261369412	0.07439843228158118	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_plane_blind	5	combined_nominal_asimov_ZA	0.0674287068817139	0.07033849124272487	0.0694707303352175	0.005972369578366304	0.064704755126638	0.07610449512375549	0.06047445279219901	0.08332802728856274	1000	0	{}	0.0694707303352175	0.064704755126638	0.07610449512375549	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_plane_blind	6	combined_nominal_asimov_ZA	0.0665979206999133	0.07005854832762946	0.0695097455787545	0.005952142943633218	0.06438855252635647	0.07607494395044045	0.06027170807394183	0.083801938984614	1000	0	{}	0.0695097455787545	0.06438855252635647	0.07607494395044045	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_aware	2	combined_systematic_aware_asimov_ZA	0.053016377144575556	0.05359364077413407	0.05322122405731716	0.006664577254946757	0.04682229313108091	0.06008766053288414	0.041906154858670094	0.06807022581077443	1000	0	{}	0.05322122405731716	0.04682229313108091	0.06008766053288414	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_aware	3	combined_systematic_aware_asimov_ZA	0.05226173514574639	0.054016190204741465	0.05360534659212919	0.007805052007395756	0.04625899379642066	0.061463751744357614	0.041003941512604114	0.07180458413371221	1000	0	{}	0.05360534659212919	0.04625899379642066	0.061463751744357614	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_aware	4	combined_systematic_aware_asimov_ZA	0.06087529276780739	0.06359953928602027	0.06256610304718968	0.00905498746644994	0.05486384443882835	0.07288703444840228	0.049163763563015536	0.08438133498090994	1000	0	{}	0.06256610304718968	0.05486384443882835	0.07288703444840228	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_aware	5	combined_systematic_aware_asimov_ZA	0.05767002251240743	0.06042376954110517	0.05945937238066163	0.008460908726826378	0.05218046574297945	0.0686325999091992	0.047207628738152256	0.07901895985436017	1000	0	{}	0.05945937238066163	0.05218046574297945	0.0686325999091992	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_aware	6	combined_systematic_aware_asimov_ZA	0.05520192174016813	0.059417016934345826	0.058432258338233414	0.009532969521384155	0.050188074398698754	0.06805831822600418	0.043950749510183615	0.08313778187419421	1000	0	{}	0.058432258338233414	0.050188074398698754	0.06805831822600418	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_plane_blind	2	combined_systematic_aware_asimov_ZA	0.05449442595570006	0.05513455470277265	0.0546350866618448	0.005876253908089224	0.04942344664277711	0.060853185802476964	0.04462066973097383	0.0669720192210017	1000	0	{}	0.0546350866618448	0.04942344664277711	0.060853185802476964	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_plane_blind	3	combined_systematic_aware_asimov_ZA	0.054697355162734704	0.05631047189711748	0.0556795806297886	0.006319262923995618	0.05015504731630289	0.06263321708936749	0.04527068419287066	0.06994022986553855	1000	0	{}	0.0556795806297886	0.05015504731630289	0.06263321708936749	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_plane_blind	4	combined_systematic_aware_asimov_ZA	0.055054014375560664	0.05748496164893946	0.05672808830121532	0.0068296194627775735	0.050944805268287686	0.06422912716235767	0.046359876294972215	0.07314459874206952	1000	0	{}	0.05672808830121532	0.050944805268287686	0.06422912716235767	1000	True	common_paired_source_member_bootstrap_p16_p84
mass_plane_blind	5	combined_systematic_aware_asimov_ZA	0.056439255767262685	0.0600185432876155	0.059307778103192876	0.00697247111462368	0.053271171473452936	0.06661265248604417	0.048499946588400115	0.07524492094035345	1000	0	{}	0.059307778103192876	0.053271171473452936	0.06661265248604417	1000	True	common_paired_source_member_bootstrap_p16_p84
