feature,importance_top
r_hh_125_120,0.0906967383556634
n_selected_jets,0.0734249425699286
n_extra_selected_jets,0.06572483808345847
hh_pt,0.06326606159019273
j1_mass,0.053291271011617895
mbb2,0.049359269284639296
ht_selected_jets,0.03961452652268675
avg_mbb,0.03565127879591007
h_delta_r,0.03517691902311902
ht_over_mhh,0.03292045857190753
h_delta_phi,0.028594299893719623
j3_mass,0.028472295779872227
drbb2,0.025070760533146833
hh_eta,0.02273796141201855
h_delta_eta,0.021791250693840067
mbb1,0.02060683666736655
avg_drbb,0.020334798181963147
delta_mbb,0.020254564202818598
j1_eta,0.019266478435211995
j2_mass,0.017084391408139825
j3_eta,0.016491296633109206
h1_eta,0.016071137981864995
j2_eta,0.015320529559513966
h_pt_balance,0.014166558336692031
j2_pt,0.013761836127546414
mhh,0.013626980186263016
h1_pt,0.01356254505827554
ht_selected_bjets,0.013322167736298731
j3_pt,0.012369660869230237
h2_eta,0.012141183053226175
pt_asym_12,0.01071820093640259
j1_pt,0.010623197727111134
j4_eta,0.00971504518770096
j4_mass,0.009176474225639377
j4_pt,0.009147751158646297
min_drbb,0.007505111461797388
h2_pt,0.00621112021493214
pt_sum4,0.005700221442545527
max_drbb,0.004832979113276707
r_hh,0.004820604937667634
ht_candidate_jets,0.004576919836736144
drbb1,0.004109397931321362
r_hh_125_125,0.0038631992803899186
pt_asym_34,0.003613195750893585
n_extra_selected_bjets,0.001212744235697933
n_selected_bjets,0.0
