feature,importance_qcd
r_hh_125_120,0.3215544807355055
ht_over_mhh,0.0914727095160099
hh_pt,0.08808944271202827
mbb2,0.03960930854411564
mbb1,0.03677100560742601
ht_selected_bjets,0.032880257525353035
j3_pt,0.023265903437273434
min_drbb,0.022253358362563636
avg_mbb,0.020338231862282667
h_delta_r,0.019193024027153165
ht_selected_jets,0.01620717965106559
n_extra_selected_bjets,0.01545572125668481
drbb2,0.014730643982409645
j1_mass,0.014670761660868165
avg_drbb,0.013727393383226108
j2_mass,0.012317530295683903
mhh,0.012221756722495066
j2_pt,0.011978382459455355
j4_pt,0.010797188451734323
n_selected_bjets,0.010783762931861137
h2_pt,0.010454429365333424
h_delta_phi,0.010441048575658427
h_delta_eta,0.010395796587236732
drbb1,0.010241902198861693
j1_eta,0.01005661292202361
delta_mbb,0.00977168824105902
r_hh_125_125,0.009525752101657502
j2_eta,0.009397330896648699
j4_eta,0.009223431632873574
j1_pt,0.008334286023836858
j4_mass,0.008153926723419217
j3_mass,0.0060243757830478395
pt_asym_12,0.006012350473396564
h_pt_balance,0.005679383743754075
hh_eta,0.005545460567178315
j3_eta,0.005441455476385292
h1_pt,0.005253351574454961
pt_sum4,0.005145449083966619
h2_eta,0.004846252422017049
h1_eta,0.0045576141120911035
pt_asym_34,0.003984827125862023
r_hh,0.003589599611848788
max_drbb,0.003487829769836104
ht_candidate_jets,0.0032293739764139395
n_selected_jets,0.0018423438238854152
n_extra_selected_jets,0.0010460840620577574
