qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
0.5,0.5,210.38623359658783,1345422.9963140471,0.00015637181330553065,0.18137937270268467,0.0015637181330553063,288,2140,166.92553253618044,382.89171621528754
0.5,0.525,198.16886410566872,1304900.9750135231,0.00015186505941848578,0.17347889301670455,0.0015186505941848579,275,2081,157.47230013729197,366.90203851797463
0.5,0.55,191.01187429003855,1249754.3549636807,0.00015283953485050234,0.17086300365325466,0.0015283953485050233,263,1992,151.65155326095993,344.9435230588846
0.5,0.575,184.08693523390207,1210990.75385909,0.00015201349361856673,0.16728328713425103,0.001520134936185667,254,1925,146.1880901306226,327.64435435273714
0.5,0.6,172.02426624931206,1155077.7103027897,0.00014892873848653697,0.16006047907457419,0.0014892873848653696,243,1828,136.9740535606898,316.09217359365044
0.5,0.625,161.13000436708865,1118406.1726176825,0.00014407109716674422,0.15236199170281525,0.001440710971667442,231,1750,128.51980146539202,299.2712938639706
0.5,0.65,152.80460744909195,1061539.640318346,0.0001439462094917786,0.14830928506056518,0.001439462094917786,220,1675,121.9402753665645,289.10536776970133
0.5,0.675,140.58723795817286,996889.1373579041,0.00014102595031858503,0.1408064232757738,0.0014102595031858503,207,1593,112.49058488621466,288.5868438080169
0.5,0.7,132.02979028068248,936088.2642768007,0.00014104416786240293,0.1364625659409438,0.0014104416786240293,193,1485,105.55170409997352,260.80870887473077
0.5,0.725,123.70439336268578,864118.4626540616,0.00014315675304834818,0.13307561493984438,0.0014315675304834817,182,1388,98.97252313781306,257.42684796642993
0.5,0.75,108.45405738855257,785543.1272765932,0.0001380625119394182,0.12236600668929826,0.001380625119394182,162,1270,86.93109202997803,236.25414505392985
0.5,0.775,102.46547467528895,727083.7396334062,0.00014092664859614629,0.12016703351086674,0.0014092664859614626,149,1148,81.86520952974735,207.52403401266787
0.5,0.8,87.36983920748487,652970.2935954646,0.00013380369683649532,0.1081221877228335,0.001338036968364953,131,1010,70.06357879173144,186.32449377897723
0.5,0.825,81.07185548156303,561119.9710154564,0.00014448221355381033,0.10822865210696676,0.0014448221355381032,114,849,64.51952393068382,156.8087683288154
0.5,0.85,65.97622001375895,470985.06981138536,0.00014008134066793314,0.09613551555866269,0.0014008134066793314,96,705,52.715942013421746,128.39844463835527
0.5,0.875,53.604150016510744,379632.25450858,0.00014120019935055136,0.08699952108114262,0.0014120019935055135,81,516,43.02754333052032,88.29700793918346
0.5,0.9,27.227501400660437,223522.629205507,0.00012181093922095662,0.05758999494924757,0.0012181093922095662,46,316,22.180304343614267,67.07984196063737
0.5,0.925,8.944198943313156,109970.05407097963,8.133304124357496e-05,0.026971446041086276,0.0008133304124357496,19,156,7.56026839398101,43.2282864626254
0.5,0.95,1.8645593808475511,26672.712451443047,6.990512810580968e-05,0.011416753583179293,0.0006990512810580967,8,42,1.9395208040524277,36.83302434801184
0.525,0.5,203.61599504678043,1228474.1569558254,0.00016574707241000776,0.18370834242040968,0.0016574707241000775,281,1991,161.70010452034288,371.70782781047507
0.525,0.525,192.72173316455698,1188901.613073389,0.0001621006574853226,0.17674931303313623,0.001621006574853226,269,1935,153.24462477446897,355.6899325127801
