qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
0.875,0.75,36.60929661520584,28664.631510004965,0.0012771591570060097,0.21623112265272834,0.012771591570060097,44,28,26.95368474511818,12.463070892078672
0.85,0.75,44.23790670318725,42579.554317651025,0.0010389471522685423,0.2143848110095439,0.010389471522685424,57,50,32.78538073036246,22.076456247779323
0.8,0.5,120.03393885956173,321776.32617434027,0.0003730353326071808,0.21160552995285029,0.003730353326071808,162,281,89.37561226326318,150.6260973188277
0.825,0.525,104.84975458001328,246020.6192266046,0.00042618279276599293,0.21138864971359986,0.004261827927659929,137,212,77.81340165568977,112.17189962771401
0.8,0.525,116.85103021082337,306376.27584088116,0.0003813971231620781,0.21110813996843683,0.003813971231620781,155,274,86.85166301680663,145.07552903063728
0.8,0.775,60.46577608399733,83281.20051732386,0.000726043521327715,0.2095251416604665,0.007260435213277149,78,94,44.81722020023196,47.24748974200162
0.825,0.775,51.64740910192563,60824.123391068206,0.0008491270604897835,0.20941636199836777,0.008491270604897835,67,67,38.302291069275086,32.66196662685031
0.825,0.5,106.62379864541833,260055.16448039055,0.0004100045421457427,0.20908429339731524,0.004100045421457426,143,218,79.3392162772872,116.98458618715097
0.85,0.775,38.45637657702523,33890.21430614429,0.0011347339450153047,0.20889651960777614,0.011347339450153046,51,40,28.582754632473204,15.79553571831853
0.875,0.775,32.3096669687915,24071.806737518047,0.001342220271253425,0.208246704566865,0.013422202712534248,40,21,23.853378747858,9.32939797014824
0.775,0.525,125.7424330893094,375622.657623208,0.00033475731705046204,0.20516627291144726,0.003347573170504621,167,334,93.47205946327097,180.19797525407637
0.825,0.6,91.80479384794155,201120.3394642844,0.000456466979383975,0.2047092009186163,0.0045646697938397495,123,175,68.30519544116751,89.06011639712239
0.775,0.5,128.92534173804782,399191.64436898316,0.0003229660328733704,0.2040551546959323,0.0032296603287337044,174,346,95.9960279864679,188.09633073347035
0.825,0.55,99.06822445385126,237625.71727588636,0.00041690868139003593,0.20322992600674547,0.004169086813900358,131,204,73.6108804827725,106.86713294168894
0.8,0.6,102.1780972061753,253888.726178487,0.0004024522819274094,0.20278512860568917,0.004024522819274094,137,231,76.02900986303385,118.26755209736642
0.825,0.575,94.7685948074369,218508.94674297087,0.00043370578742897846,0.20273551251445124,0.004337057874289785,127,191,70.51199947415525,97.51560993860583
0.8,0.75,66.3203421065737,107774.63439015739,0.0006153613276616271,0.20201726106863865,0.006153613276616271,85,116,49.125421335949355,63.13271219512862
0.825,0.75,57.50197512450198,81108.20954693593,0.0007089538216378278,0.20190652544244078,0.0070895382163782775,74,85,42.610462947429546,45.416518861357616
0.8,0.55,109.441527812085,295161.3247360836,0.00037078546083211053,0.2014431118801886,0.0037078546083211057,145,263,81.3346683662303,137.83268538703595
0.85,0.525,79.87655411354581,158039.71487308876,0.0005054207683030141,0.20092602954685987,0.005054207683030141,106,129,59.372307676633746,65.53551847952235
