qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
0.5,0.5,203.23947341467465,1368492.894945461,0.00014851335667531867,0.17373478755199698,0.0014851335667531867,277,1213,151.4837335133352,471.3723344065953
0.5,0.525,198.57466428618858,1315581.3928844158,0.0001509406148188316,0.17312706869464517,0.0015094061481883158,268,1174,147.85595115157122,449.8733670060817
0.5,0.55,189.6102255112882,1247570.6217764532,0.00015198356085148633,0.16975758376891126,0.001519835608514863,255,1118,141.12974846350892,418.43895497711827
0.5,0.575,179.45602984229745,1195001.0652576874,0.00015017227604194642,0.1641624818613232,0.0015017227604194642,244,1079,133.7234076862845,395.4100552777098
0.5,0.6,170.78373465305444,1119898.705854344,0.00015249926958596456,0.16138275865703247,0.0015249926958596457,235,1010,127.4208507512423,362.6548580222911
0.5,0.625,161.819295878154,1065644.882769167,0.00015185105140997168,0.1567559575184273,0.0015185105140997166,222,955,120.6944601577861,338.21223284829205
0.5,0.65,149.81802024734395,989561.1383179099,0.00015139844770178606,0.15060616090719073,0.0015139844770178604,204,894,111.65537096266087,321.42373324531076
0.5,0.675,142.3354819521912,926348.4599360246,0.00015365220336418668,0.1478856329021099,0.0015365220336418667,193,847,106.0324822243524,310.3605568424094
0.5,0.7,134.92597955345283,854576.0684918582,0.000157886447477482,0.1459554164260924,0.0015788644747748199,183,787,100.51547049329935,278.6035659922441
0.5,0.725,125.66939719289508,790822.5661983654,0.00015890972585293285,0.14131556692744887,0.0015890972585293282,166,727,93.36645117660332,265.0633727085091
0.5,0.75,116.63192252158035,714662.0729451024,0.0001631987017877463,0.137964409695149,0.0016319870178774629,152,654,86.53506524525218,229.7366137816321
0.5,0.775,104.84975458001327,623735.771121969,0.00016809963358588637,0.13275995377549038,0.0016809963358588636,137,582,77.81340165568974,203.57628114310154
0.5,0.8,86.02326372177954,553867.2015479009,0.0001553138793583896,0.11558809109808588,0.001553138793583896,117,519,64.10319899913864,187.68471770000411
0.5,0.825,74.53323936586985,473860.60710730695,0.0001572893763439416,0.10827412773489051,0.0015728937634394158,106,430,55.80669017721944,149.46656112005363
0.5,0.85,64.01386421480743,388932.10703053465,0.00016458878826833848,0.10264484567424274,0.0016458878826833847,90,342,47.87042698472331,124.54350939171549
0.5,0.875,46.377130250664,289563.7740308501,0.00016016205896571506,0.08618501418383301,0.0016016205896571506,68,235,34.84309710743935,77.60071798328485
0.5,0.9,31.265981867529884,157993.00428368314,0.00019789472330933392,0.07865985526728025,0.0019789472330933393,44,128,23.383522793030654,34.68431244032358
0.5,0.925,17.709769860557778,48623.610221473806,0.00036422161538175035,0.08031364134847448,0.003642216153817503,23,41,13.135225521093831,9.901744260459264
0.5,0.95,2.8177291666666666,6827.525398366355,0.0004127013818712229,0.03410103694643585,0.004127013818712229,2,5,2.0,5.0
0.525,0.5,200.20263655876494,1265328.8049413103,0.00015822182801572348,0.17797872662173786,0.001582218280157235,272,1137,149.17103615828165,459.00996339181546
0.525,0.525,195.53782743027887,1213895.640437884,0.0001610828978343997,0.17747619524519925,0.0016108289783439969,263,1100,145.54335837823848,438.0166868847587
0.525,0.55,186.57338865537847,1148098.9368084602,0.00016250636828740912,0.17412456406107915,0.001625063682874091,250,1048,138.81719489614608,406.97939529605014
0.525,0.575,179.23692215305445,1099464.9544042565,0.000163021951209144,0.17093727732157307,0.00163021951209144,241,1011,133.4059312030033,384.72176418971065
0.525,0.6,170.5646269638114,1028548.1492346657,0.00016583047384872274,0.1681808934190786,0.0016583047384872273,232,946,127.10299609630546,353.28796769230934
0.525,0.625,161.600188188911,981234.6840258014,0.00016469066047064207,0.16313810629344636,0.0016469066047064206,219,897,120.37671331399048,331.6471348769484
0.525,0.65,149.67194845451525,905376.604530436,0.000165314574847161,0.1572989336432526,0.00165314574847161,202,838,111.44366467394542,316.236755681707
0.525,0.675,142.18941015936252,845606.8727456033,0.00016815072670552846,0.15462617064432288,0.0016815072670552846,191,795,105.82087084793997,308.9351242561737
0.525,0.7,134.77990776062416,775199.9863811103,0.00017386469314817886,0.15307993763175098,0.0017386469314817883,181,736,100.30385911704433,276.5714924426753
0.525,0.725,125.52332540006641,717531.4018492841,0.0001749377449914482,0.14818490978947685,0.0017493774499144818,164,681,93.15540384635007,268.31985820368294
0.525,0.75,116.48585072875166,645734.5408192389,0.00018039278273850254,0.14495932796002242,0.0018039278273850254,150,614,86.32430360984333,233.18814242224767
0.525,0.775,104.7036827871846,560270.2593147985,0.00018688067240127206,0.13988243149930785,0.0018688067240127204,135,546,77.60260068340816,211.5967727335232
0.525,0.8,85.87719192895084,493803.40540705173,0.00017390967941616483,0.12220832589281427,0.001739096794161648,115,485,63.891587625151175,200.213631000978
0.525,0.825,74.38716757304115,415251.35504086385,0.0001791376877402866,0.11543632529054196,0.001791376877402866,104,398,55.59412053875897,158.54631001843154
0.525,0.85,63.86779242197876,351434.26275919593,0.00018173467754833346,0.10773575386812034,0.0018173467754833345,88,317,47.65814697509098,123.97656258085668
0.525,0.875,46.23105845783533,256518.60097746179,0.0001802249750375696,0.09127974231188317,0.0018022497503756962,66,217,34.62994053363931,75.83086964728517
0.525,0.9,31.192945971115535,130498.89054372064,0.00023902843802848316,0.08634813925605238,0.0023902843802848313,43,115,23.277374830681648,33.10639823639178
0.525,0.925,17.709769860557778,32142.576113630144,0.000550975435134706,0.09878080863738828,0.0055097543513470595,23,37,13.135225521093831,21.340697703834717
0.525,0.95,2.8177291666666666,6827.525398366355,0.0004127013818712229,0.03410103694643585,0.004127013818712229,2,5,2.0,5.0
0.55,0.5,197.31187149568393,1195691.0122175706,0.00016501911403493986,0.1804445350316647,0.0016501911403493984,269,1066,147.0701277657531,420.7488090354452
0.55,0.525,192.64706236719783,1144257.8477141443,0.0001683598349375922,0.18009449636608404,0.001683598349375922,260,1029,143.4423406694347,399.9171373942851
0.55,0.55,183.68262359229746,1079939.48164234,0.00017008603418495113,0.17675363927088183,0.0017008603418495114,247,979,136.71613858538686,370.17820756877336
0.55,0.575,176.34615708997342,1031418.3317160821,0.0001709744258632356,0.1736395201607231,0.0017097442586323558,238,943,131.30491184355947,348.35721515993083
0.55,0.6,169.0827264840637,967329.0519448577,0.00017479339232509913,0.1719143488651438,0.001747933923250991,230,883,125.99959420693936,320.9424935944322
0.55,0.625,160.11828770916333,922715.9256963461,0.00017352934229278297,0.1666889953032824,0.0017352934229278296,217,838,119.2733108970334,301.18166124470673
