classifier,negative_class,unweighted_auc,physics_weighted_auc,n_train_task,n_test_task
BDT_QCD_event_features_safe,QCD bbbb HT slices,0.8353223045009835,0.8441567744146657,10712,5775
BDT_top_event_features_safe,ttbar / top-like backgrounds,0.7397960017653693,0.7618634500854526,1359,729
