feature,importance_qcd
r_hh,0.32173539888340796
ht_over_mhh,0.19059530707317296
mbb2,0.0630315322338953
ht_pt30_eta25,0.05284738648284036
drbb1,0.049551637514771416
avg_mbb,0.04165069005807854
drbb2,0.04153625343765219
mbb1,0.03753669799930529
j3_pt,0.029896379341951357
mhh,0.027549272576374628
j2_pt,0.024086156265841988
j1_pt,0.021149823963642567
j4_pt,0.016525944227671254
pt_asym_12,0.016286640251812635
pt_asym_34,0.0159067634065879
delta_mbb,0.015699163344115624
pt_sum4,0.01528965848300135
n_jet_pt30_eta25,0.008951931844057095
n_extra_jets_pt30_eta25,0.006782177579534962
n_bjet_pt30_eta25,0.001746881078535096
n_extra_bjets_pt30_eta25,0.0016443039537495025
