working_point,qcd_threshold,top_threshold,n_seeds,S_over_sqrtB_mean,S_over_sqrtB_std_seed,S_over_B_mean,S_over_B_std_seed,median_background_test_rows,min_background_test_rows,median_neff_background,min_neff_background,median_signal_test_rows,min_signal_test_rows
loose_best_sqrtB,0.8,0.5,20,0.18534148985158838,0.013103023555517105,0.0003533476502329652,3.065679237310323e-05,240.0,209,132.68409902492368,101.25252933503522,137.0,117
nominal_balanced,0.825,0.525,20,0.18457734753876123,0.01560919878840974,0.00041191609012421426,5.128070358163137e-05,173.0,139,92.59920935674904,68.36615671215121,116.0,103
higher_purity,0.875,0.75,20,0.14866721832995072,0.04664318333812285,0.0008031274886778526,0.0003849341948194398,38.0,23,18.521304633642515,9.970164800978377,40.0,26
intermediate,0.85,0.75,20,0.14511464437892824,0.03597739628207594,0.0006027460844425338,0.00021705284456059718,62.5,35,33.355407003443204,14.417007453241071,53.5,32
