lane	file_role	file_rank_within_role	source_stage	sample_group	remote_path	event_count	ensemble_mean_signal_probability	ensemble_signal_probability_quantile_0p5	ensemble_signal_probability_quantile_0p9	ensemble_signal_probability_quantile_0p99	ensemble_mean_qcd_probability	ensemble_mean_ttbar_probability	ensemble_signal_probability_gt_0p5_fraction	ensemble_signal_probability_gt_0p9_fraction	ensemble_signal_probability_gt_0p997_fraction	model_overall_top1_agreement_fraction	model_signal_grid_top1_agreement_fraction	physical_weights_used	interpretation
qcd	canary	0	published_canary	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	64	0.05708568404221398	0.007357532823107249	0.1696840318872319	0.6266996746026533	0.9264699686318636	0.016444353956780823	0.03125	0.0	0.0	0.96875	0.203125	False	unweighted_released_model_response_diagnostic_not_efficiency
qcd	replication	1	seven_file_replication	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid1.root	128	0.08983624575992584	0.007298920625226895	0.39842197713767097	0.8466502161907579	0.8946879163268022	0.015475842566381535	0.0703125	0.0	0.0	0.9921875	0.265625	False	unweighted_released_model_response_diagnostic_not_efficiency
qcd	replication	2	seven_file_replication	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid62.root	128	0.10180924285604159	0.008664785195369026	0.39558553844121125	0.9126752025384118	0.8907053716926991	0.007485386399270618	0.0703125	0.015625	0.0	0.984375	0.2265625	False	unweighted_released_model_response_diagnostic_not_efficiency
ttbar	canary	0	published_canary	TTbar_forInfer_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0037.root	64	0.0370047541100226	9.515177107772772e-07	0.11346981812098422	0.49522073835984515	0.07961060036190365	0.8833846460717419	0.015625	0.0	0.0	0.953125	0.09375	False	unweighted_released_model_response_diagnostic_not_efficiency
ttbar	replication	2	seven_file_replication	TTbar_forInfer_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0036.root	128	0.055009020842613006	1.680490132725148e-08	0.08332918692089016	0.905048368952259	0.05929762884131867	0.8856933554606788	0.046875	0.015625	0.0	0.953125	0.109375	False	unweighted_released_model_response_diagnostic_not_efficiency
ttbar	replication	1	seven_file_replication	TTbar_forInfer_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0045.root	128	0.032855599385879605	1.1099470487077896e-06	0.0955711751805419	0.5685224947267806	0.07883717259672435	0.8883072360816489	0.015625	0.0	0.0	0.953125	0.0625	False	unweighted_released_model_response_diagnostic_not_efficiency
zjets	canary	0	published_canary	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id2500-2999.root	64	0.23727273373178592	0.08193169793025845	0.8183693051395798	0.9896911943145725	0.7162563390714544	0.0464709180028547	0.21875	0.078125	0.0	0.90625	0.21875	False	unweighted_released_model_response_diagnostic_not_efficiency
zjets	replication	2	seven_file_replication	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id0-499.root	128	0.26997892420993297	0.11047483028357874	0.8403598664875688	0.9960795954889635	0.6889543409141272	0.04106673298881998	0.2265625	0.0859375	0.0078125	0.9296875	0.3359375	False	unweighted_released_model_response_diagnostic_not_efficiency
zjets	replication	1	seven_file_replication	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id500-999.root	128	0.26979552245245386	0.09494512988959514	0.9079719461897903	0.9994847419454497	0.6970520789016537	0.033152396811056264	0.234375	0.109375	0.03125	0.9375	0.3046875	False	unweighted_released_model_response_diagnostic_not_efficiency
zz	canary	0	published_canary	ZZ_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZZ_ntuple/selected_ntuples_0001.root	64	0.1007281619277307	3.8433890273647225e-12	0.5436098382550587	0.9888233989167019	0.06596581986311222	0.833306021626451	0.109375	0.046875	0.0	0.953125	0.0625	False	unweighted_released_model_response_diagnostic_not_efficiency
zz	replication	1	seven_file_replication	ZZ_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZZ_ntuple/selected_ntuples_0000.root	128	0.026409767598140108	3.3005427966454013e-12	0.0001743892838459649	0.8504895250314921	0.04736224515316719	0.9262279904701245	0.0234375	0.0078125	0.0	0.984375	0.015625	False	unweighted_released_model_response_diagnostic_not_efficiency
