lane	canary_remote_path	canary_event_count	canary_ensemble_mean_signal_probability	replication_file_count	replication_event_count	replication_file_mean_average	replication_file_mean_min	replication_file_mean_max	canary_minus_replication_file_mean_average	absolute_canary_minus_replication_file_mean_average	canary_within_replication_file_mean_min_max	descriptive_only_no_acceptance_threshold	interpretation
qcd	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	64	0.05708568404221398	2	256	0.09582274430798371	0.08983624575992584	0.10180924285604159	-0.03873706026576973	0.03873706026576973	False	True	unweighted_canary_vs_replication_response_comparison
ttbar	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0037.root	64	0.0370047541100226	2	256	0.04393231011424631	0.032855599385879605	0.055009020842613006	-0.006927556004223706	0.006927556004223706	True	True	unweighted_canary_vs_replication_response_comparison
zjets	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id2500-2999.root	64	0.23727273373178592	2	256	0.2698872233311934	0.26979552245245386	0.26997892420993297	-0.03261448959940749	0.03261448959940749	False	True	unweighted_canary_vs_replication_response_comparison
zz	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZZ_ntuple/selected_ntuples_0001.root	64	0.1007281619277307	1	128	0.026409767598140108	0.026409767598140108	0.026409767598140108	0.07431839432959059	0.07431839432959059	False	True	unweighted_canary_vs_replication_response_comparison
