lane	combined_file_count	canary_file_count	replication_file_count	combined_event_count	ensemble_signal_file_mean_average	ensemble_signal_file_mean_min	ensemble_signal_file_mean_max	ensemble_signal_file_mean_range	ensemble_signal_file_mean_population_std	ensemble_signal_quantile_0p5_range	ensemble_signal_quantile_0p9_range	ensemble_signal_quantile_0p99_range	ensemble_signal_gt_0p5_fraction_range	ensemble_signal_gt_0p9_fraction_range	ensemble_signal_gt_0p997_fraction_range	model_overall_top1_agreement_fraction_range	model_signal_grid_top1_agreement_fraction_range	descriptive_stability_threshold_defined	stability_pass_fail_claim_made	interpretation
qcd	3	1	2	320	0.08291039088606046	0.05708568404221398	0.10180924285604159	0.04472355881382761	0.01890369941825952	0.001365864570142131	0.22873794525043906	0.28597552793575853	0.0390625	0.015625	0.0	0.0234375	0.0625	False	False	unweighted_file_to_file_response_variation_not_physical_performance
ttbar	3	1	2	320	0.04162312477950507	0.032855599385879605	0.055009020842613006	0.0221534214567334	0.009615630722612217	1.093142147380538e-06	0.030140631200094067	0.4098276305924139	0.03125	0.015625	0.0	0.0	0.046875	False	False	unweighted_file_to_file_response_variation_not_physical_performance
zjets	3	1	2	320	0.25901572679805757	0.23727273373178592	0.26997892420993297	0.032706190478147046	0.01537480015395571	0.02854313235332029	0.08960264105021043	0.009793547630877142	0.015625	0.03125	0.03125	0.03125	0.1171875	False	False	unweighted_file_to_file_response_variation_not_physical_performance
zz	2	1	1	192	0.0635689647629354	0.026409767598140108	0.1007281619277307	0.07431839432959059	0.03715919716479529	5.428462307193211e-13	0.5434354489712128	0.1383338738852098	0.0859375	0.0390625	0.0	0.03125	0.046875	False	False	unweighted_file_to_file_response_variation_not_physical_performance
