job_index	proc_id	outer_fold	category_id	structure_id	category_family_id	mass_family	condor_job_status	condor_exit_code	worker_rc	runtime_seconds	all_inner_support_pass	inner_support_pass_count	inner_support_failure_count	pooled_support_pass	pooled_support_failures	pooled_inner_oof_feasible	pooled_inner_oof_signal_efficiency	pooled_inner_oof_background_efficiency	pooled_inner_oof_selected_signal_rows	pooled_inner_oof_selected_background_rows	pooled_inner_oof_selected_background_neff	outer_signal_total_rows	outer_signal_selected_rows	outer_background_total_rows	outer_background_selected_rows	canonical_payload_sha256	outer_selected_event_uid_sha256	result_bundle_sha256	worker_log_sha256	validation_payloads_opened	test_payloads_opened	execution_integrity_pass
10	10	0	exact3tag	radial_mass__category__plus_abs_h_delta_eta	exact3tag::radial_mass__category__plus_abs_h_delta_eta	radial	4	0	0	183.1232831478119	True	4	0	True	[]	False	0.5857335808541588	0.4437710314270838	13011	32702	13974.707688280916	5405	3214	16005	7958	85ebb6216d183079461d9863d5d4be48c43b713d54409d349100e727d885571d	114402dc5c4af087a718cb1629f4f37078ae045e295de9f452f873c0aaae23d4	3f4715a49a4555b407af6a2cdb9cd9e164fe8daa6a4f474bffe998d560b23b49	3756cea77ce1d590b4e0a3295c2d62148638f2ea818a36d8f17084d311171cc5	0	0	True
11	11	0	exact3tag	radial_mass__category__plus_h2_pt	exact3tag::radial_mass__category__plus_h2_pt	radial	4	0	0	250.21758031845093	True	4	0	True	[]	False	0.5853106106796379	0.44469880112867144	13004	32802	13898.784966304505	5405	3202	16005	7981	f3c19f52e6127e27090521bba8b257ae717ac6778d2646f82ef2a54835104a44	d328d3f34b175c2f4dfb0bb405f9be6a75aa8de6efe2ed4743838d98efa46505	9dc891d62268dbfee082c394bf57ac7ece1de0caef24f932491fabb5cce861c6	7eb5bb3e5080d7c225d215ebfbfff7cfc1ecb78c6d11abd8559a4591eec0fa86	0	0	True
12	12	0	exact3tag	radial_mass__category__plus_h2_pt_and_max_drbb	exact3tag::radial_mass__category__plus_h2_pt_and_max_drbb	radial	4	0	0	168.52204775810242	True	4	0	True	[]	False	0.5831318599717344	0.44436980257167735	12954	32769	13999.958306999317	5405	3214	16005	7957	cb072d643f5f32294beaa219bafccc81f7bf419bcade2410476b024594bd1fdd	89f6edb92ff9e2f038c3d20bbf170b4e9708e084720694af49b1b92abe471c54	de57bf76946ab12b5a5d7ebc761c605e6b90371031215594aff98ef25a767dd7	dcd3d16371ad725dee4c344f3d83149098510717fb884a63961265991fed196c	0	0	True
13	13	0	exact3tag	radial_mass__category__plus_ht_candidate_jets	exact3tag::radial_mass__category__plus_ht_candidate_jets	radial	4	0	0	125.18596172332764	True	4	0	True	[]	False	0.5838479753459797	0.44254134846144605	12973	33108	14063.889901027307	5405	3197	16005	7909	03e5ddcb11807a6a9afea33a19ae9a3a773aa8c305f86f06d0e8da98e4ead53b	40b01fe40b7f01af117eb1ce9bb36430f1f08e49e919921d8eeb275e0bbe541c	9ed88ec4f96e43286a848e16e8abaee23b809411f873a02c901a3e8d798df364	5f4a59cdfff8ad968a8f982112992c2f3125d9552d7ec1856bd3fe696ce75f5d	0	0	True
14	14	0	exact3tag	radial_mass__category__plus_ht_candidate_jets_and_max_drbb	exact3tag::radial_mass__category__plus_ht_candidate_jets_and_max_drbb	radial	4	0	0	175.40135645866394	True	4	0	True	[]	False	0.5834260602378262	0.44479347879843945	12963	32936	14059.309803761895	5405	3141	16005	8365	15db640c101b2f6a25f4119835a1916b16b97011e16c40654c1e316e50c9ba1f	42d60fe03caec27ed9c67d3c978d768a10b1ed15c46a761c50ed80f1deb5c480	ab785154c7cdcd38c56c9c681a18b8d09a162d51a7ed0f68c3d5ea7e14c87836	b7d2a4cfc8804471cf1c476bba0b658d00aa849e8bc70a88bd3617dd4e532645	0	0	True
15	15	0	exact3tag	radial_mass__category__plus_max_drbb	exact3tag::radial_mass__category__plus_max_drbb	radial	4	0	0	197.44900584220886	True	4	0	True	[]	False	0.58448718984945	0.4346762547379704	12986	32495	13806.475733749563	5405	3170	16005	8039	3f531d590631448ab2f82b5f28096187912c1b35298bd18cbf093d1c42e38235	5de3205df53934cec49dcd9c76fec5ec1662ac9e2fe9da1a381ab4138f4b6782	45ead3dd765632a198f94b68f4ef235fed21fb5bacbb5e77a5f9bcb41b4b3e49	4d5e176dc0789178413adc43415fca49dd956de456043e030320f83d6d1e03b6	0	0	True
16	16	0	exact3tag	radial_mass__category__plus_mhh	exact3tag::radial_mass__category__plus_mhh	radial	4	0	0	151.11147594451904	True	4	0	True	[]	False	0.5854448147138511	0.44293509809976445	13007	32678	13900.348214411044	5405	3181	16005	7970	81698cb2e34d9e54a73b433698168c5ba795f340861898bfecfe90cae962cce5	98f02f9e0a16f200621bad14a09bab5630555edc59f241c0e9126adc8f63b09f	0e4717bac90e356d25d575e92c86ecd273b0c3b174f076ae7e8d6609dd0356b8	b86ee1a6da209249615f2cf3dedbc199e9da07e007afea8cc81f9ef37697f811	0	0	True
17	17	0	exact3tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	exact3tag::radial_mass__category__plus_mhh_and_abs_h_delta_eta	radial	4	0	0	215.90992188453674	True	4	0	True	[]	False	0.58559233849183	0.4435728106693892	13008	32692	13967.01027068864	5405	3214	16005	7958	10602d09a046a0e79793293c5a5c3cd170614c143e6de54ca72964316c14f45d	114402dc5c4af087a718cb1629f4f37078ae045e295de9f452f873c0aaae23d4	003187104c36411fafebdc5dc7ccf428fd2743beb98e0a9e28e3ab7a46a2c058	0e95cdf2e56100702c6341b6ca0abfba3c8087f97a79228231bd5d4fd96c987a	0	0	True
18	18	0	exact3tag	symmetric_rectangular_mass__category__mass_only	exact3tag::symmetric_rectangular_mass__category__mass_only	symmetric_rectangular	4	0	0	85.65888476371765	True	4	0	True	[]	False	0.585601108262003	0.44606602837769804	13007	32785	14087.980449578221	5405	3190	16005	7946	2e60d126a3ca84d568090abcc6c46095118a364b4eb24212ebcef33eff7ec94d	e9614a23183b16ced355b35ed8195dda3603f0d57a201d716a80253558a56c13	f00e7eec91d9bc87c68aff01d69e08ae767fdf5ae5fd99afe63a0cb4fe7ee15a	4cd2b19bbf002a87ca99ec4f6a588edb8a75348906d8698b9606135f7ab98c94	0	0	True
19	19	0	exact3tag	symmetric_rectangular_mass__category__plus_abs_h_delta_eta	exact3tag::symmetric_rectangular_mass__category__plus_abs_h_delta_eta	symmetric_rectangular	4	0	0	190.2575879096985	True	4	0	True	[]	False	0.5855136434012982	0.44591285744678616	13005	32778	14082.210591676707	5405	3190	16005	7944	bf41a5a51504343d776a3002388a3cfa13c0f5a9e1d4d08686bd54c3c3e32eb3	ba996ce1f8ee67ac5756c224eef1cf7a317901f7bedd2d05c619bc150c34ebfd	f3936bbffa9f0ca6f74de11ad2855b1723299dbf9a3c7903e0ec12d6350c1261	3ddc9fa5d47cf81b9f2228ccc47eb9b711a8f5c9733eebc88934d19ffc8c7acb	0	0	True
