process,n_raw,weight_450fb,B_k
QCD,61,7.3112875413134075,445.98854002011785
inference_ttbar_2,16,2.3214135411747647,37.142616658796236
inference_ttbar_1,9,2.3214135411747647,20.89272187057288
ZJetsToQQ,8,1.41031125,11.28249
SingleTop,2,4.884600426532971,9.769200853065943
TTbarW,2,0.335385,0.67077
TW,1,6.227102637699448,6.227102637699448
TTbarZ,1,0.38655,0.38655
