population_kind	sample_class	process_or_mode	campaign	transport_id	candidate_rows	coefficient_lookup_key	coefficient_registry_match	generator_weight_transport_class	generator_weight_join_source	generator_weight_join_key	candidate_to_generator_weight_join_exact	source_event_to_candidate_cardinality	candidate_application_semantics	run2_yield_coefficient_per_generator_weight	train_candidate_physical_weight_application_authorized	selected_physical_yield_calculation_authorized
ordinary	background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	344	background|bbh_hbb_4fs	True	uniform_member_constant	frozen_member_constant	not_required_member_constant	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	50.760919981288211	True	False
ordinary	background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	334	background|bbh_hbb_4fs	True	signed_exact_event_sidecar	/uscms/homes/i/iturkmen/physical_weight_sidecars/ordinary_train_signed_event_weights_20260731_v4/background_0001_bbh_hbb_4fs_bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_delphes_event_weights.parquet	event	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	50.760919981288211	True	False
ordinary	background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_bundle.tar.gz	334	background|bbh_hbb_4fs	True	uniform_member_constant	frozen_member_constant	not_required_member_constant	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	50.760919981288211	True	False
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	7	background|ggh_hbb	True	uniform_member_constant	frozen_member_constant	not_required_member_constant	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	5.2229942147646047	True	False
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz	1	background|ggh_hbb	True	uniform_member_constant	frozen_member_constant	not_required_member_constant	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	5.2229942147646047	True	False
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9703_10k_bundle.tar.gz	7	background|ggh_hbb	True	signed_exact_event_sidecar	/uscms/homes/i/iturkmen/physical_weight_sidecars/ordinary_train_signed_event_weights_20260731_v4/background_0007_ggh_hbb_ggh_hbb_run2_frozen_v2_train_shard9703_10k_delphes_event_weights.parquet	event	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	5.2229942147646047	True	False
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9704_10k_bundle.tar.gz	6	background|ggh_hbb	True	uniform_member_constant	frozen_member_constant	not_required_member_constant	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	5.2229942147646047	True	False
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9705_10k_bundle.tar.gz	3	background|ggh_hbb	True	uniform_member_constant	frozen_member_constant	not_required_member_constant	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	5.2229942147646047	True	False
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9706_10k_bundle.tar.gz	6	background|ggh_hbb	True	uniform_member_constant	frozen_member_constant	not_required_member_constant	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	5.2229942147646047	True	False
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9707_10k_bundle.tar.gz	2	background|ggh_hbb	True	uniform_member_constant	frozen_member_constant	not_required_member_constant	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	5.2229942147646047	True	False
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9708_10k_bundle.tar.gz	6	background|ggh_hbb	True	signed_exact_event_sidecar	/uscms/homes/i/iturkmen/physical_weight_sidecars/ordinary_train_signed_event_weights_20260731_v4/background_0012_ggh_hbb_ggh_hbb_run2_frozen_v2_train_shard9708_10k_delphes_event_weights.parquet	event	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	5.2229942147646047	True	False
ordinary	background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_bundle.tar.gz	8	background|schannel_single_top	True	uniform_member_constant	frozen_member_constant	not_required_member_constant	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	7.2764736285061986	True	False
ordinary	background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_bundle.tar.gz	8	background|tchannel_antitop	True	uniform_member_constant	frozen_member_constant	not_required_member_constant	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	2.3733666849741166	True	False
ordinary	background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4308_10kevt_bundle.tar.gz	1	background|tchannel_antitop	True	uniform_member_constant	frozen_member_constant	not_required_member_constant	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	2.3733666849741166	True	False
ordinary	background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4310_10kevt_bundle.tar.gz	2	background|tchannel_antitop	True	uniform_member_constant	frozen_member_constant	not_required_member_constant	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	2.3733666849741166	True	False
ordinary	background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4311_10kevt_bundle.tar.gz	4	background|tchannel_antitop	True	uniform_member_constant	frozen_member_constant	not_required_member_constant	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	2.3733666849741166	True	False
ordinary	background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4312_10kevt_bundle.tar.gz	4	background|tchannel_antitop	True	uniform_member_constant	frozen_member_constant	not_required_member_constant	True	zero_or_one	direct_source_event_weight_on_unique_candidate_row	2.3733666849741166	True	False
