sample_class	process_or_mode	campaign	campaign_members	generated_events	train_members	validation_members	final_evaluation_members	generator_weight_convention	effective_generator_numerator	normalization_denominator_type	normalization_denominator	denominator_convention_authorized	candidate_content_opened	validation_candidate_content_opened	evaluation_candidate_content_opened	external_cross_section_required	physical_weight_application_authorized	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	1	10000	0	1	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	4	40000	3	0	1	uniform_positive_constant_cancels	1	generated_event_count	40000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	1	10000	0	1	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	9	90000	8	0	1	uniform_positive_constant_cancels	1	generated_event_count	90000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	1	0	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	14	140000	10	3	1	uniform_positive_constant_cancels	1	generated_event_count	140000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	1	0	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	14	140000	11	2	1	uniform_positive_constant_cancels	1	generated_event_count	140000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	1	0	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	2	20000	0	1	1	uniform_positive_constant_cancels	1	generated_event_count	20000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	1	0	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	7	70000	4	2	1	uniform_positive_constant_cancels	1	generated_event_count	70000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	1	0	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	7	70000	5	1	1	uniform_positive_constant_cancels	1	generated_event_count	70000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	1	0	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	74	740000	58	15	1	uniform_positive_constant_cancels	1	generated_event_count	740000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	1	0	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	30000	1	1	1	uniform_positive_constant_cancels	1	generated_event_count	30000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	1	0	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	30000	2	0	1	uniform_positive_constant_cancels	1	generated_event_count	30000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	1	0	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	50000	3	1	1	uniform_positive_constant_cancels	1	generated_event_count	50000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	0	0	1	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	30000	3	0	0	uniform_positive_constant_cancels	1	generated_event_count	30000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	1	0	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	6	60000	3	2	1	uniform_positive_constant_cancels	1	generated_event_count	60000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	0	0	1	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	6	60000	5	1	0	uniform_positive_constant_cancels	1	generated_event_count	60000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	0	1	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	4	40000	3	0	1	uniform_positive_constant_cancels	1	generated_event_count	40000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	1	10000	0	1	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	9	90000	7	1	1	uniform_positive_constant_cancels	1	generated_event_count	90000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	0	0	1	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	50000	4	1	0	uniform_positive_constant_cancels	1	generated_event_count	50000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	0	1	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	3	30000	2	0	1	uniform_positive_constant_cancels	1	generated_event_count	30000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	1	0	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	50000	3	1	1	uniform_positive_constant_cancels	1	generated_event_count	50000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	1	0	0	uniform_positive_constant_cancels	1	generated_event_count	10000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	9	90000	6	2	1	uniform_positive_constant_cancels	1	generated_event_count	90000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	15	150000	12	3	0	uniform_positive_constant_cancels	1	generated_event_count	150000	True	False	False	False	True	False	standard_campaign_ngen_denominator_frozen
