ordinal	process_or_mode	member_index	transfer_performed_this_run	temporary_bundle_removed	temporary_nested_archive_removed	temporary_root_removed	status
1	bbh_hbb_4fs	108	True	True	True	True	bundle_verified_root_weight_only_audited
2	ggh_hbb	116	True	True	True	True	bundle_verified_root_weight_only_audited
3	qcd_bbbb_general	417	True	True	True	True	bundle_verified_root_weight_only_audited
4	qcd_bbbb_iht400to600	434	True	True	True	True	bundle_verified_root_weight_only_audited
5	schannel_single_top	366	True	True	True	True	bundle_verified_root_weight_only_audited
6	tchannel_antitop	371	True	True	True	True	bundle_verified_root_weight_only_audited
7	tchannel_top	380	True	True	True	True	bundle_verified_root_weight_only_audited
8	ttbar_inclusive	479	True	True	True	True	bundle_verified_root_weight_only_audited
9	tth_hbb	545	True	True	True	True	bundle_verified_root_weight_only_audited
10	tttt	547	True	True	True	True	bundle_verified_root_weight_only_audited
11	ttw	561	True	True	True	True	bundle_verified_root_weight_only_audited
12	ttz_zbb	551	True	True	True	True	bundle_verified_root_weight_only_audited
13	tw_antitop	388	True	True	True	True	bundle_verified_root_weight_only_audited
14	tw_top	394	True	True	True	True	bundle_verified_root_weight_only_audited
15	vbf_hbb	558	True	True	True	True	bundle_verified_root_weight_only_audited
16	vbf_hh4b	106	True	True	True	True	bundle_verified_root_weight_only_audited
17	wh_hbb	570	True	True	True	True	bundle_verified_root_weight_only_audited
18	ww	572	True	True	True	True	bundle_verified_root_weight_only_audited
19	wz_zbb	576	True	True	True	True	bundle_verified_root_weight_only_audited
20	zbbbb	534	True	True	True	True	bundle_verified_root_weight_only_audited
