relative_path	size_bytes	sha256
README.md	1083	29c2ac6eda82c327ac1ad4e6275e76ddd333796dbd74d67796c30a0d4c625db0
evidence/40J7A_preflight/README.md	1140	ea04418d50c9a89014415d14b1130ee998e2d34eafc1158dcab7c96499736cb6
evidence/40J7A_preflight/SHA256SUMS	599	852e124382a46e073a0382d8c8e02e15459afe8a63fcfb8e29c75bd13c04a2ae
evidence/40J7A_preflight/artifact_manifest.tsv	554	0bcf6182b1a6faa2dd1c002e67ec14de1bf9cbe2bdfd9576eba409fd2cd78716
evidence/40J7A_preflight/phase3_evaluation_and_representation_bridge_contract.json	6766	b012b0a85c8d68051b76bdf2002c6b1baeb77ffa7e7cbb862ca8f3a7aa65da4c
evidence/40J7A_preflight/representation_asset_inventory.tsv	127765	53fae3ec60108a74fb5860c168dd176244d7c81cda43379a2a1bd48d8b6c4a10
evidence/40J7A_preflight/track_b_schema_common_and_union.json	3921	fe5bdb7a202bb28e7ad43c96f00d64d565f2c23f11db35d8617dec6c978e9b1d
evidence/40J7A_preflight/track_b_schema_inventory.tsv	79677	d772985afe8b91a4f6ab43aa43d8e4da4edb8436d032fdfbd3415586852512af
evidence/inventory_review/representation_asset_inventory_review.json	1364	f1f3a4c866e3d363323b1d96fbbc3b64ef0ff490891e0486330a2a1e15e846d4
evidence/inventory_review/representation_code_config_candidates.tsv	57521	04f7f3785e4611e1eb16ff0678042126bc999d2cec84175dccf9ecda9f0e5a5a
evidence/inventory_review/representation_model_weight_candidates.tsv	779	582768bd583fc95c3edf55f7e23637fa28a752612c5546c1f674ec442b752d84
phase3_evaluation_representation_bridge_freeze_contract.json	6228	ffb5f0121d3b4549f920f11f4bce418ec74c709c0ce65b9fb342da34f7a82289
