canary_lane	canary_sample_group	remote_path	remote_size_bytes	remote_adler32	selection_rank_within_group	deterministic_rank_sha256	identity_status	physical_weight_status	is_published_canary_file	within_maximum_file_bytes	eligible_for_replication	exclusion_reason
zjets	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id500-999.root	1763435733	c5d36b3f	1	11cf381535cd2f58523e3a5e66b45d9e50ed50f62b062677b528d1cf3b930a06	complete	blocked_pending_author_clarification	False	True	True	
zjets	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id0-499.root	1759940750	aa7186e9	2	193de740ff0d7750913f3bed6c6ba98763f04e8a9bb95e0586a5a622e1479d25	complete	blocked_pending_author_clarification	False	True	True	
zjets	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id3500-3999.root	1756662477	ad8fb471	3	56003d45ea7abe29a8cc760dbd9d008fc134e0a56c600870ae7e905567a953b3	complete	blocked_pending_author_clarification	False	True	True	
zjets	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id2000-2499.root	1760818761	82e4fae4	4	57e64872b6f99086b8669d7c566025411d5dcccc8008ac7d34b1ddd9051a28f8	complete	blocked_pending_author_clarification	False	True	True	
zjets	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id1000-1499.root	1757447421	a361f668	5	8534d07e4f36936640d8ba67b52b5299f73432ebed953c0f0040776a2b413382	complete	blocked_pending_author_clarification	False	True	True	
zjets	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id1500-1999.root	1759641298	c4f282a4	6	9e5514bd62c234f175a2ba4224f67609439e752f24c9847e1cde80fef1027747	complete	blocked_pending_author_clarification	False	True	True	
zjets	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id2500-2999.root	1749925223	cc5209ec	7	aaaa38bb4f5833f1c1d5dbd83bfb0e0595db2097ce9e3e2b08a3a6c99b1cebb2	complete	blocked_pending_author_clarification	True	True	False	published_canary_file
zjets	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id3000-3499.root	1756974792	43cd979f	8	db206229fc57f4f57b1e10e9456804bd8b960eb1744b32a3a141495418f33b90	complete	blocked_pending_author_clarification	False	True	True	
zz	ZZ_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZZ_ntuple/selected_ntuples_0001.root	690055895	4cfd4cfc	1	074251795ccc9a9b0310fcced69d4fbfe0c3ee7b3ff8499cdf9f22097e2817c4	complete	blocked_pending_author_clarification	True	True	False	published_canary_file
zz	ZZ_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZZ_ntuple/selected_ntuples_0000.root	1122900950	5acf887b	2	4ccfa993bee38bf69a12b3747f4681229568baeadbd8d1f29e5b7eb77b30d8a5	complete	blocked_pending_author_clarification	False	True	True	
