arm,round,train_logloss,val_logloss,train_auc,val_auc
K,200,0.5287957029014397,0.5289446678574424,0.8120152365592938,0.8118722292187893
K,1000,0.5033881895150515,0.5055373043825022,0.8290062164906572,0.8273324537360808
K,4000,0.487140653169866,0.4961476333343014,0.8418195769108519,0.834710351351562
K,6000,0.4817107719512556,0.4949903946251403,0.8460891696389689,0.8356225241979183
KF,200,0.2879866027076286,0.2882521293889148,0.9496962615919192,0.9496261705930966
KF,1000,0.2359688274195356,0.2380447472327893,0.9655918275211076,0.9649264485241228
KF,4000,0.217999674263994,0.2269782252174806,0.9705179851210158,0.9678774633842436
KF,6000,0.2124091168005092,0.2258682130085003,0.9720885513214322,0.968185254924962

arm,interval,val_logloss_abs_change,val_logloss_pct_change,val_auc_abs_change,val_auc_pct_change
K,200->1000,-0.023407363474940213,-4.425295290290894,0.015460224517291454,1.9042681792636016
K,1000->4000,-0.00938967104820082,-1.857364623105313,0.007377897615481244,0.8917693947776397
K,4000->6000,-0.0011572387091611236,-0.2332448310564414,0.0009121728463562517,0.10928016465583092
KF,200->1000,-0.050207382156125524,-17.41787034238517,0.015300277931026174,1.6111895822616453
KF,1000->4000,-0.011066522015308694,-4.648925105029305,0.0029510148601208375,0.3058279586630134
KF,4000->6000,-0.0011100122089802988,-0.4890390732048124,0.0003077915407183607,0.03180067233326711
