region	mhh_category	btag_category	population_kind	sample_class	process_or_mode	raw_candidate_rows	signed_physical_yield	sum_squared_physical_weights	sum_absolute_physical_weights	effective_events	negative_weight_rows	zero_weight_rows	positive_weight_rows	cancellation_fraction	yield_scope
baseline_all_fourb_candidates	high_mhh	ge5b	ordinary	background	ttw	3	2.4402029372615694	1.984873498206511	2.4402029372615694	2.9999848254311572	0	0	3	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	ge5b	ordinary	background	ttz_zbb	114	33.431509940599049	9.8041139543109193	33.431509940599049	113.99968035019928	0	0	114	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	ge5b	ordinary	background	tw_antitop	3	165.64936066925588	9146.5712582434317	165.64936066925588	2.9999996627591927	0	0	3	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	ge5b	ordinary	background	tw_top	1	55.249683594756938	3052.5275373207537	55.249683594756938	1	0	0	1	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	ge5b	ordinary	background	wzz_zbb	4	1.0240652053974701	0.26217770525963946	1.0240652053974701	3.9999951325655476	0	0	4	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	ge5b	ordinary	background	zbbbb	45	171.6074066523141	654.42958868765493	171.6074066523141	44.999649354161633	0	0	45	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	ge5b	ordinary	background	zzz_zbb	2	0.38819304673984378	0.075348015961371501	0.38819304673984378	1.9999709297510688	0	0	2	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	ge5b	ordinary	signal	ggf_hh4b	62	0.8928844589792635	0.01285883384724475	0.8928844589792635	61.999607939371302	0	0	62	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	ge5b	ordinary	signal	vbf_hh4b	112	0.22055176504503868	0.00043431735681532998	0.22055176504503868	111.99893419218056	0	0	112	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	hard_qcd	background	qcd_hardqcd	39	4825595.3948423937	4725274745172.2988	4825595.3948423937	4.928045917015778	0	0	39	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	bbh_hbb_4fs	270	392.58444935099828	570.82799041769897	392.58444935099828	269.99823494893542	0	0	270	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	ggh_hbb	16	1072.4053487560941	71878.448217581637	1072.4053487560941	15.999973017772719	0	0	16	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	schannel_single_top	3	153.21633454808335	7825.0817241167333	153.21633454808335	3.0000000000000004	0	0	3	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	tchannel_antitop	5	690.02313666749353	95226.401940463271	690.02313666749353	4.999999153954489	0	0	5	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	tchannel_top	11	2548.473186875769	590429.9635433295	2548.473186875769	10.999976263481274	0	0	11	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	ttbar_inclusive	979	110465.05984842204	12464295.137234619	110465.05984842204	978.99875708677791	0	0	979	0	train_partition_contribution_only
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	ordinary	background	tth_hbb	909	927.6186619029213	946.61920702896543	927.6186619029213	908.99949580701536	0	0	909	0	train_partition_contribution_only
