cut_order	region	sample_class	raw_candidate_rows	signed_physical_yield	sum_squared_physical_weights	effective_events	efficiency_relative_to_baseline_yield	yield_scope
0	baseline_all_fourb_candidates	signal	9337	79.237368520595368	1.0327529105066418	6079.4411772594649	1	train_partition_contribution_only
0	baseline_all_fourb_candidates	background	21368	9211825.2786737699	6800874306537.9297	12.477472915980265	1	train_partition_contribution_only
1	higher_efficiency_sr_rhh125120_lt35p5	signal	5977	52.138286764939906	0.6842826375740525	3972.6288488343016	0.65800124030353335	train_partition_contribution_only
1	higher_efficiency_sr_rhh125120_lt35p5	background	6849	1510815.3120213856	745927150922.37317	3.0600346216326662	0.16400824660874358	train_partition_contribution_only
2	optimized_nominal_sr_rhh125120_lt34	signal	5758	50.177597649466634	0.65838706266019897	3824.1810154936475	0.63325673967106166	train_partition_contribution_only
2	optimized_nominal_sr_rhh125120_lt34	background	6415	1503154.6939003093	745926373057.2373	3.0290845255060521	0.16317663963734222	train_partition_contribution_only
3	higher_purity_sr_rhh125120_lt31p5	signal	5366	46.830634618260355	0.61468964484709021	3567.830297994627	0.59101703517688298	train_partition_contribution_only
3	higher_purity_sr_rhh125120_lt31p5	background	5705	1456868.082115504	744952776201.60522	2.8491263828950522	0.1581519447061473	train_partition_contribution_only
4	cms_reference_sr_rhh125120_lt30	signal	5103	44.584941853771092	0.58538193166668251	3395.7608401825696	0.56267570069774064	train_partition_contribution_only
4	cms_reference_sr_rhh125120_lt30	background	5277	1449446.3134923247	744951981281.61841	2.8201745461259162	0.15734626630923268	train_partition_contribution_only
