region	mhh_category	btag_category	signal_raw_rows	background_raw_rows	signal_yield	background_yield_including_direct_qcd	ordinary_background_yield_excluding_direct_qcd	direct_stitched_qcd_yield_secondary	signal_sumw2	background_sumw2_including_direct_qcd	ordinary_background_sumw2_excluding_direct_qcd	direct_stitched_qcd_sumw2_secondary	signal_effective_events	background_effective_events_including_direct_qcd	direct_stitched_qcd_effective_events_secondary	signal_over_background	signal_over_sqrt_background	statistical_only_asimov_ZA	systematic_aware_significance_calculated	lower_btag_pseudodata_multijet_used	direct_qcd_role	yield_scope	full_run2_prediction
baseline_all_fourb_candidates	inclusive_mhh	inclusive_ge4b	9337	21368	79.237368520595368	9211825.2786737699	352460.27375738882	8859365.0049163811	1.0327529105066418	6800874306537.9297	36944035.521484375	6800837362502.4082	6079.4411772594649	12.477472915980265	11.540982985874077	8.6017011963999392e-06	0.026107013762649837	0.026106987373021522	False	False	secondary_closure_projection_included_in_B	train_partition_contribution_only	False
baseline_all_fourb_candidates	inclusive_mhh	exactly4b	8679	18862	73.987368963652187	8704776.2220301945	336101.99463864323	8368674.2273915512	0.96544851260723352	6592562413868.7139	35310893.150390625	6592527102975.5635	5670.0390488773837	11.493729496776401	10.623347804303624	8.4996290629968981e-06	0.025077184681262226	0.025077156843549525	False	False	secondary_closure_projection_included_in_B	train_partition_contribution_only	False
baseline_all_fourb_candidates	inclusive_mhh	ge5b	658	2506	5.249999556943445	507049.05664357549	16358.27911875525	490690.77752482024	0.067304397899629997	208311892669.21512	1633142.3705444336	208310259526.84457	409.51997503951958	1.2342009980745308	1.1558597243112938	1.0354026870094097e-05	0.0073728309678558705	0.0073728191627671939	False	False	secondary_closure_projection_included_in_B	train_partition_contribution_only	False
baseline_all_fourb_candidates	low_mhh	inclusive_ge4b	6423	12196	61.96121135254527	4260651.3195176302	226881.70944365021	4033769.6100739799	0.83250848509021191	2075586146074.7334	23528744.624023438	2075562617330.1094	4611.5946936670134	8.7460352830152797	7.8394634453798835	1.4542661838744461e-05	0.030018010324121085	0.030017939310981789	False	False	secondary_closure_projection_included_in_B	train_partition_contribution_only	False
baseline_all_fourb_candidates	low_mhh	exactly4b	5939	10634	57.824648019626039	4215647.4228445105	215086.67562379595	4000560.7472207146	0.77849723839463691	2074612074276.123	22358467.717773438	2074589715808.4053	4295.0568784145817	8.5662680816781069	7.7145308155384811	1.3716670826472681e-05	0.028163125936973964	0.028163066003394577	False	False	secondary_closure_projection_included_in_B	train_partition_contribution_only	False
baseline_all_fourb_candidates	low_mhh	ge5b	484	1562	4.1365633329191303	45003.896673120355	11795.033819854769	33208.862853265586	0.054011246695570711	974071798.61040676	1170276.9058485031	972901521.70455825	316.80728096680383	2.0792622460215173	1.1335459421163283	9.1915670391043964e-05	0.019499102334730001	0.019498803831323245	False	False	secondary_closure_projection_included_in_B	train_partition_contribution_only	False
baseline_all_fourb_candidates	high_mhh	inclusive_ge4b	2914	9172	17.276157168053039	4951173.9591562096	125578.56431381591	4825595.3948423937	0.20024442541663812	4725288160463.1963	13415290.897460938	4725274745172.2988	1490.5064441832458	5.1878579128650593	4.928045917015778	3.4893052255019699e-06	0.0077641345611137369	0.0077640801187424347	False	False	secondary_closure_projection_included_in_B	train_partition_contribution_only	False
baseline_all_fourb_candidates	high_mhh	exactly4b	2740	8228	16.162720944029129	4489128.7991857575	121015.3190149134	4368113.4801708441	0.18695127421257804	4517950339592.5908	12952425.432617188	4517937387167.1582	1397.3349441711489	4.4604911211786815	4.2232580358122371	3.60041372547848e-06	0.0076283997226129253	0.0076283370627191639	False	False	secondary_closure_projection_included_in_B	train_partition_contribution_only	False
baseline_all_fourb_candidates	high_mhh	ge5b	174	944	1.1134362240243012	462045.15997045499	4563.2452989003505	457481.91467155464	0.013293151204060107	207337820870.60474	462865.46472167969	207337358005.14001	93.261575524006815	1.0296516523406283	1.0094162685644099	2.4097995617906673e-06	0.001638034836239943	0.0016380643649238945	False	False	secondary_closure_projection_included_in_B	train_partition_contribution_only	False
cms_reference_sr_rhh125120_lt30	inclusive_mhh	inclusive_ge4b	5103	5277	44.584941853771092	1449446.3134923247	98017.82750175707	1351428.4859905676	0.58538193166668251	744951981281.61841	10338736.856933594	744941642544.76147	3395.7608401825696	2.8201745461259162	2.4516805725987014	3.0759981545192416e-05	0.037032850128169668	0.037032661562866276	False	False	secondary_closure_projection_included_in_B	train_partition_contribution_only	False
