region	mhh_category	btag_category	sample_class	raw_candidate_rows	signed_physical_yield	sum_squared_physical_weights	effective_events	negative_weight_rows	zero_weight_rows	positive_weight_rows	cancellation_fraction	yield_scope
cms_reference_cr_rhh125120_ge30_lt55	low_mhh	ge5b	background	464	3528.9970060358896	350724.35510604782	35.508853854317117	0	0	464	0	train_partition_contribution_only
cms_reference_cr_rhh125120_ge30_lt55	low_mhh	ge5b	signal	130	0.98971956181390075	0.012518778673993956	78.246036338350606	0	0	130	0	train_partition_contribution_only
cms_reference_cr_rhh125120_ge30_lt55	low_mhh	inclusive_ge4b	background	5001	1303314.180059935	449268136789.68475	3.7808776382031222	0	0	5001	0	train_partition_contribution_only
cms_reference_cr_rhh125120_ge30_lt55	low_mhh	inclusive_ge4b	signal	1964	18.54258735845907	0.24794416888226109	1386.7135794968272	0	0	1964	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	high_mhh	exactly4b	background	6531	4239126.6697329283	4483888602968.0537	4.0077255510196759	0	0	6531	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	high_mhh	exactly4b	signal	991	7.0864754584915222	0.087925233642492676	571.14587409561477	0	0	991	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	high_mhh	ge5b	background	359	459012.53236176656	207337522021.51544	1.0161812623732343	0	0	359	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	high_mhh	ge5b	signal	21	0.14098790848282741	0.0017145473887206593	11.593491360535763	0	0	21	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	high_mhh	inclusive_ge4b	background	6890	4698139.2020946909	4691226124989.5693	4.705062466437389	0	0	6890	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	high_mhh	inclusive_ge4b	signal	1012	7.2274633669743498	0.089639781031213353	582.73487641348765	0	0	1012	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	inclusive_mhh	exactly4b	background	9121	5913270.4192289524	5397376988597.0859	6.4784741041438521	0	0	9121	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	inclusive_mhh	exactly4b	signal	1590	12.271507787839006	0.15585781991230424	966.20049909414274	0	0	1590	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	inclusive_mhh	ge5b	background	498	491245.88238105469	208306174063.07904	1.1584991085442526	0	0	498	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	inclusive_mhh	ge5b	signal	45	0.36234402280508204	0.0046590943975749026	28.179980841536292	0	0	45	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	inclusive_mhh	inclusive_ge4b	background	9619	6404516.301610006	5605683162660.165	7.3171864815355327	0	0	9619	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	inclusive_mhh	inclusive_ge4b	signal	1635	12.633851810644078	0.16051691430987924	994.37627654103846	0	0	1635	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	low_mhh	exactly4b	background	2590	1674143.7494960353	913488385629.03223	3.0681914932576317	0	0	2590	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	low_mhh	exactly4b	signal	599	5.1850323293476066	0.067932586269809303	395.75352172817156	0	0	599	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	low_mhh	ge5b	background	139	32233.350019288137	968652041.56361794	1.0726130838363643	0	0	139	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	low_mhh	ge5b	signal	24	0.22135611432225466	0.0029445470088542442	16.640430327825857	0	0	24	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	low_mhh	inclusive_ge4b	background	2729	1706377.0995153235	914457037670.59595	3.1841001663319077	0	0	2729	0	train_partition_contribution_only
cms_reference_outside_rhh125120_ge55	low_mhh	inclusive_ge4b	signal	623	5.4063884436698606	0.070877133278663573	412.39021178987144	0	0	623	0	train_partition_contribution_only
cms_reference_sr_rhh125120_lt30	high_mhh	exactly4b	background	543	196782.41756472204	33090836294.070004	1.1702127899848811	0	0	543	0	train_partition_contribution_only
cms_reference_sr_rhh125120_lt30	high_mhh	exactly4b	signal	1161	5.8918003475967664	0.063557034326958375	546.17575699590759	0	0	1161	0	train_partition_contribution_only
cms_reference_sr_rhh125120_lt30	high_mhh	ge5b	background	268	1703.8559852310564	173373.09513550461	16.744958127088143	0	0	268	0	train_partition_contribution_only
cms_reference_sr_rhh125120_lt30	high_mhh	ge5b	signal	106	0.68090595575732027	0.0081377144104471857	56.973358513365689	0	0	106	0	train_partition_contribution_only
cms_reference_sr_rhh125120_lt30	high_mhh	inclusive_ge4b	background	811	198486.2735499531	33091009667.165138	1.1905590425921229	0	0	811	0	train_partition_contribution_only
cms_reference_sr_rhh125120_lt30	high_mhh	inclusive_ge4b	signal	1267	6.5727063033540851	0.071694748737404376	602.56112073675627	0	0	1267	0	train_partition_contribution_only
