population_kind	sample_class	process_or_mode	campaign	transport_id	raw_candidate_rows	signed_physical_yield	sum_squared_physical_weights	effective_events	negative_weight_rows	zero_weight_rows	positive_weight_rows	yield_scope
hard_qcd	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin03_pthat200to300_shard9819_seed1239819	1	181583.62996380546	32972614670.83223	1	0	0	1	train_partition_contribution_only
hard_qcd	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin03_pthat200to300_shard9820_seed1239820	1	183031.79840385017	33500639226.947651	1	0	0	1	train_partition_contribution_only
hard_qcd	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin05_pthat500to700_shard9824_seed1259824	2	4174.8402004860727	8714645.3497972954	2	0	0	2	train_partition_contribution_only
ordinary	background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	344	499.41569722911674	725.04662395012281	344.00000000000352	0	0	344	train_partition_contribution_only
ordinary	background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	334	487.43597462366449	711.35877053089325	334.00000000000472	0	0	334	train_partition_contribution_only
ordinary	background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_bundle.tar.gz	334	484.64112038871968	703.22459751985036	334.00000000000495	0	0	334	train_partition_contribution_only
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	7	469.38892543804343	31475.137617697314	6.9999999999999964	0	0	7	train_partition_contribution_only
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz	1	66.943253370857207	4481.3991718747848	1	0	0	1	train_partition_contribution_only
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9703_10k_bundle.tar.gz	7	468.54688139735794	31362.311438169971	7	0	0	7	train_partition_contribution_only
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9704_10k_bundle.tar.gz	6	402.12992921184747	26951.413327987582	5.9999999999999991	0	0	6	train_partition_contribution_only
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9705_10k_bundle.tar.gz	3	201.3970004281781	13520.250593822526	2.9999999999999996	0	0	3	train_partition_contribution_only
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9706_10k_bundle.tar.gz	6	401.85963830487464	26915.194816420775	6	0	0	6	train_partition_contribution_only
