epoch,train_loss,train_cls_loss,train_assignment_loss,train_assignment_acc_batch_mean,val_auc_unweighted
1,2.921822893208471,1.282654379976207,3.278336993579207,0.2690669524258581,0.579870154775229
2,2.496184936885176,1.2427517833380863,2.506866317370842,0.42485523378026896,0.6233268131783838
3,2.416067966099443,1.2039930162758663,2.4241498914258233,0.41399087474263946,0.6656241392175117
4,2.2498865374203385,1.1698222797492455,2.1601285194528512,0.46513276572885187,0.669367126564227
5,2.2015328653927506,1.1761256250841865,2.050814492949124,0.49778551171565877,0.6925311102045656
6,2.0934386253356934,1.1565780310795224,1.8737212131763328,0.50534019953218,0.7049525283905678
7,2.067522373692743,1.1417214274406433,1.8516019048361942,0.5314423359673599,0.7040581862811756
8,2.004111960016448,1.1390492525593987,1.7301253943607724,0.5157068001812902,0.7089099486407047
9,1.9081245496355255,1.1111414226992378,1.5939662394852474,0.5615562138886288,0.7178533697346263
10,1.8454149303765133,1.1000845720028054,1.4906606879727593,0.5830617886165093,0.7260053067785204
11,1.7958493767113521,1.0838754423733414,1.4239478563440258,0.5887764949223091,0.7167393646509974
12,1.721417969670789,1.0908279809458503,1.2611799712838798,0.6405175287148048,0.7173443095086175
13,1.7271636601152092,1.0862575728317787,1.2818121725115283,0.6428551026459398,0.7272814440574191
14,1.5970292379116189,1.0604326663346126,1.0731931924819946,0.70908080606625,0.7361917413695114
15,1.5133291154072201,1.0313481482966194,0.9639619136678761,0.7140546934358005,0.7237494029002485
16,1.465139524690036,1.0326512003767079,0.8649766712353147,0.7200308236582526,0.7372238086770362
17,1.443301061104084,1.0324666500091553,0.8216688365771853,0.7671244853529436,0.7355013720219106
18,1.3719874456011016,1.0214458107948303,0.7010832757785402,0.7896852184986246,0.7425794011917588
19,1.355115830898285,0.9991653294398867,0.7119010029167965,0.7792396360430224,0.7196838945199319
20,1.2668203649849727,0.9783355881427896,0.5769695444353695,0.810350790106017,0.7320111714312613
21,1.252017304815095,0.9648462020117661,0.5743422138279882,0.8128944840924494,0.729636719281179
22,1.2439243999020806,0.9876759668876385,0.5124968629458855,0.8500166535377502,0.7268037642563013
23,1.1740468062203506,0.9312225189702265,0.48564858837374325,0.8547563306216536,0.7456886782913708
24,1.1621257703879784,0.9560768357638655,0.41209786256839487,0.8560469273863167,0.7446906064441446
25,1.1301030557731102,0.9190973865574804,0.4220113225024322,0.8782628301916451,0.738337813760665
26,1.1356451963556224,0.935841089692609,0.39960822360268955,0.876737288359938,0.7338887668539031
27,1.1118754888403004,0.9137268107512901,0.3962973574626035,0.8778919742025179,0.7354577880984507
28,1.1099078675796246,0.9187918202630405,0.38223209206400244,0.8765170430314952,0.7541117073391839
29,1.1018765034346745,0.9137015116625818,0.3763499812319361,0.8923231959342957,0.7290579247776348
30,1.0545290626328567,0.8679454799356132,0.3731671576869899,0.8880585452605938,0.7432314166867153
31,0.9882367376623482,0.8592626164699423,0.2579482355644798,0.9143756956889711,0.7299557536009038
32,0.9332219012852373,0.8192839088111088,0.2278759789749466,0.9185512004227474,0.7430657977775685
33,0.996539319383687,0.8333219228119686,0.32643477490236017,0.9074529368301918,0.7320076847173845
34,0.9931112301760706,0.8514563317956596,0.28330980215607016,0.91673344373703,0.7350533292887451
35,0.9202937298807604,0.8082383994398445,0.2241106611387483,0.9306443313072468,0.7361987147972651
36,0.8919417940337082,0.7994363081866297,0.18501096873961645,0.9480158768851181,0.7402677098914585
37,0.8819828341747152,0.8015374870135866,0.16089070472737838,0.9493173073078024,0.7362388120068479
38,0.8596376160095478,0.7552284701117153,0.20881828858420767,0.9368431157079237,0.7325707890084832
39,0.8467649735253433,0.7602929246836695,0.17294409196695376,0.9297015050361896,0.7325394085835922
40,0.8268109354479559,0.7071271826480997,0.23936749609379931,0.9232490001053646,0.7334006269111552
41,0.9174088034136542,0.7707478157405195,0.29332198176918356,0.9198652341448027,0.7243944449674515
42,0.848641155094936,0.7418017901223282,0.2136787224946351,0.912258807955117,0.7421505353849158
43,0.7958593471296902,0.6924843479847086,0.2067499898117164,0.9433066166680435,0.7307524677217463
44,0.7852582520452039,0.6942095119377663,0.18209747954046931,0.9445820286356169,0.735476965024773
45,0.7310880217058905,0.6456822506312666,0.17081153829549922,0.9521806219528461,0.7393210670739149
46,0.7585734057015386,0.6739675454024611,0.16921172046969676,0.9507207644396815,0.7217672060613035
47,0.7389916572077521,0.6574967811847555,0.16298975622088746,0.9489232116732104,0.7164063834757655
48,0.7127761409200472,0.6267783097152052,0.17199566385483947,0.930884809329592,0.7238156504639073
49,0.6730459414679428,0.6153778331033115,0.1153362313735074,0.9627717445636618,0.7271594090717322
50,0.7068688992796273,0.6315481416110335,0.15064152400812197,0.9562527866199099,0.7231531748273204
