table	format	path	bytes	sha256
background_family_efficiencies	tsv	tables/background_family_efficiencies.tsv	1855	5e6baf7ffc060e4deb3c5b37730c18eab1981c6b8e3d7142f425137f52a8d204
cms_region_summary	tex	tables/cms_region_summary.tex	444	4749f1c50a839a3c20e5fbc5279d6859a367a37948298b76d31d8541894ba06f
cms_region_summary	tsv	tables/cms_region_summary.tsv	574	61dd6303d6b50a2e1877955fd1c646fb2fb0b95e0c5daeeacf1ed39b5cfb0337
cut_working_points	tex	tables/cut_working_points.tex	714	e0ff72f008b44614e81ee7a30648d54a2b4ef116c644b8ce019e298a25aa2e61
cut_working_points	tsv	tables/cut_working_points.tsv	848	23fab8d28f10e3a1a83a4efbeed8b663b551a14aa244169d710dba4d596b5bc9
signal_mode_efficiencies	tsv	tables/signal_mode_efficiencies.tsv	503	53a0cfd8a24b9eff27e72f856259f71cf21bff4eaa2863cef699d8a3473d3f9a
