payload_key	replica	category_id	transferred_rows	payload_archive_size_bytes	payload_archive_sha256
replica_0000__exact3tag	0	exact3tag	109194	14760296	4ade0c4d4bc9d981ee1d9f11fe095b79b58ce5bd26c69b994c24c12f0d646586
replica_0000__ge4tag	0	ge4tag	30840	4295082	97b8530b216b8e069fa11f81a9a3dce24123c7c001b3969fd0be6c0f9297d255
replica_0001__exact3tag	1	exact3tag	109166	14188105	c509e3f527b4163a726b7211bcb37fc568bf4810eb8cce1dece2ba8e8bac49af
replica_0001__ge4tag	1	ge4tag	30509	3838000	02b45be9e8616653935f24a00ba933fc2defb3a1063e38e02e4db1ad8a9f47b2
replica_0002__exact3tag	2	exact3tag	108280	14316868	c72f7264324af6977b37a57f77eea84c365d1f3898aba2333804c3ffb80cf786
replica_0002__ge4tag	2	ge4tag	30708	4014767	5adf93673b0e7a9fa1b017c4522685451f20e1170bbab58e944eacb0ec13f67b
replica_0003__exact3tag	3	exact3tag	108807	14421125	e9cdd1a29ad2f094871e1425c0611a65749219a4efaaaf38d13af66eac2aacfb
replica_0003__ge4tag	3	ge4tag	30840	4065863	7f7cf4477fdbe8ad647a1dd00c8698afca8369abf2786fc3dd1afbf944eec024
replica_0004__exact3tag	4	exact3tag	108935	14688747	2ee3799f2f1a681182de96eb9133880a41807149e02cce5b70283b0a12a10935
replica_0004__ge4tag	4	ge4tag	30933	4420820	a7c8981d715bcaa05e7b0751300c9292c303d39a8c79d10177b690817c8b0d61
replica_0005__exact3tag	5	exact3tag	108526	14026763	8da61e881694c8bdcfcc2b7afaef734260785a1deb9951f5674eace86a351d46
replica_0005__ge4tag	5	ge4tag	30746	3854677	ec44e905f5950c48579ec4fd0b370ef3e564022a26b157b7bbefbc2cf84d321c
replica_0006__exact3tag	6	exact3tag	108517	15303568	21a9a1acfc59f09e19f3890df4db49ed159bc3241135d8a812ad3bcfbffbff12
replica_0006__ge4tag	6	ge4tag	30584	4322355	776871415ecbbeedb04bf9e748eba927674f3770b2309ac37f7e7ab5832d3ff9
replica_0007__exact3tag	7	exact3tag	108561	14669937	5e8224bbd9a3a7466f3ea21e849d87bfc71da58251ef85764e6462dd64812194
replica_0007__ge4tag	7	ge4tag	30974	4171540	8fb8f33d2972b99e7b450383e24c9ce095fdf1050899497df102e9f7969edff9
replica_0008__exact3tag	8	exact3tag	108471	14510690	b83e55e412090edb7268ec996cdb9b8ec277df472177e0864663ba0eba1c49bc
replica_0008__ge4tag	8	ge4tag	30812	4135462	df329969cd92cecd57018ab084af258c9d0048ea52147b516e05f060a4e80d14
replica_0009__exact3tag	9	exact3tag	108668	14467938	50c3a28e0fd8d49bc5fda1d72b21f5f239421f54787982aa9def79c6384ef17b
replica_0009__ge4tag	9	ge4tag	30275	4039683	8736017f16c4081f31fe740c79ee83ed6d7651d6fbd5a97ee4eae53c3f42317d
replica_0010__exact3tag	10	exact3tag	108721	14841373	79033256e08c50b1a1c2fa7aa09423bbdee066b856d853f451423c9f118a1e4f
replica_0010__ge4tag	10	ge4tag	30667	4161388	e90e99a48ee899d28c3252b4369710fdf329d518c728a59f51c5b0e83303bc12
replica_0011__exact3tag	11	exact3tag	108458	14995380	3e065b192feefbf98662baf351582b0e07f3ab4ccfaab92e4ad53504dbac1cd2
replica_0011__ge4tag	11	ge4tag	30992	4477386	11080eeb6f60f7913e0b0b19fb9f4e9845c99a233f61a29764d5433af21b09de
replica_0012__exact3tag	12	exact3tag	108775	14815067	01cb4fcf1c24a96f3fb44179ee24de44d2e8b04530916020159f1ad310580c19
replica_0012__ge4tag	12	ge4tag	30547	4090903	938c2668176cf40daae13700b2ac003d0ff172390e3f515957d4326875bb807b
replica_0013__exact3tag	13	exact3tag	108508	15418937	66df702a4d4463091801320a095de2f51092422911e7d63a27efa96781393760
replica_0013__ge4tag	13	ge4tag	30424	4501625	4d6802613831db99becc6b17382e949382e4e4aa61a36dc74e8ca0be227b98af
replica_0014__exact3tag	14	exact3tag	108187	15218572	06e1f4799079f15007d2bbad0d1645f51e32bde06d2cbacd0e377ac364ea9c2d
replica_0014__ge4tag	14	ge4tag	30557	4461735	6983e07fd040cd7fefcf5003b451868583f7069ee63189f2e915ff02a1624359
replica_0015__exact3tag	15	exact3tag	108781	15353026	c4622bbf894af4ca4e22f0f640643e9bab216ef4bbbb07210c52b0c2abe4786b
replica_0015__ge4tag	15	ge4tag	30905	4460940	483ffb811e39a81fb8d24614b831304e10f75fe36af121971972c60fb8e16e62
replica_0016__exact3tag	16	exact3tag	108573	13906394	b361d3c92cc79075c161fc65e309750f816639334295112e0327cdd86fbe1a46
replica_0016__ge4tag	16	ge4tag	30860	3947458	890fcb352796e0d7fe2d531226604c50bf3028e77f6a99becc0640b6cbfbd5dc
replica_0017__exact3tag	17	exact3tag	108542	14247766	17eb01b80e0484ad1159db1ef39abbf9cf0c7ab520ac4a45cfcde9a9807cf1df
replica_0017__ge4tag	17	ge4tag	30797	3951801	0c6187344d750d5e45b7803febc8b38096847539a9ce32346eb2f1d7edb97a34
replica_0018__exact3tag	18	exact3tag	109035	14020398	dad579e4dc99fc59961ba54c43d92ad86e84bbef3556b18f1a83dd4239c5fddb
replica_0018__ge4tag	18	ge4tag	30592	3766437	feb1bad4288eed1b13e89772a2ecfab7957c349e214e1e0d82ed1e291ba1f4e9
replica_0019__exact3tag	19	exact3tag	108770	14750988	bffbdfd371e66d4e0db7df6f69280dba87e21edb707ca261af17739ae4c7c9e4
replica_0019__ge4tag	19	ge4tag	30753	4316728	0c92195bf10247f7f0c5d324c0ed8b9b38052e4c08135942f341e3c92170c246
replica_0020__exact3tag	20	exact3tag	108377	14633704	47f72e48bce17454fccd0b71a2a9714ba325dec371ef3c922ba88bd8c9943631
replica_0020__ge4tag	20	ge4tag	30896	4106776	252de236154828da4aed88496e1dba19af5496903cd575eac306c3cc5b3eded7
replica_0021__exact3tag	21	exact3tag	108573	14259888	79d2c73182221e2189ddc433970f54f13cd15a0e5ae24fe80c60bcc6d39ceb04
replica_0021__ge4tag	21	ge4tag	30999	3846119	c1c8d9da1ba62ae992ff59f50608f05d9fee45b38942ad4ed27e326ad623560c
replica_0022__exact3tag	22	exact3tag	108865	15064407	4ee2997a9c0af9eb386bc251f055c714b79ae07c05689681fc6b017875625ae4
replica_0022__ge4tag	22	ge4tag	31098	4288337	664c1e9b4f0e520266123356fe8b6e2a3da2569dbcd8c0fe13d53f6491e1a4ed
replica_0023__exact3tag	23	exact3tag	108368	14110844	ac88982c39f8e1efa2962fe3ed8f245942997197dedb35b90ad25ccd93f3da2a
replica_0023__ge4tag	23	ge4tag	30864	3881826	0baddd4eda5453bc77202f8fac24cd976b3090969cc7ccfd6fe0feba3fb6146c
replica_0024__exact3tag	24	exact3tag	109348	14223392	36fcb82a6d2f7d399749ec257ddb72e811eae3e3848ba3f1c5e9e4fe6b1e4e7f
replica_0024__ge4tag	24	ge4tag	30945	4016525	79cbc07494f01a70d3f590301c359eae047dd27251d77e868123be9f96448a9a
replica_0025__exact3tag	25	exact3tag	108506	14163727	bcfd1ea1c2dd69a637e5f258f44fd0ed22ae3158a01d62cf36fdf3d729d57612
replica_0025__ge4tag	25	ge4tag	30669	3965368	c30fb111cdaceb4825c022eabc94f7ae3a2414497eb57df108eeb38fc2358b07
replica_0026__exact3tag	26	exact3tag	108905	14174644	74b1e1e36738ad64906308d218929985d75972132f0d2776cc97095f5ae1265c
replica_0026__ge4tag	26	ge4tag	30812	3847387	636eee6c022b0d6c50a42a6529cdda155d4e351fbfc57edadb3bf2dfdd1cd965
replica_0027__exact3tag	27	exact3tag	109116	14835083	c67ec1d45357cbaac838de627038677a920925adf8c31fdbea9e68d7e3fc3ac4
replica_0027__ge4tag	27	ge4tag	30908	4148807	19a4780929dced07ee4895d9d1f75946d5099e7016275cfadb10c148c4733789
replica_0028__exact3tag	28	exact3tag	108899	14061724	2a7b1823e5edbc9a70c8b204a7a7dd52c8f304bad5d15f8d856702af904191c4
replica_0028__ge4tag	28	ge4tag	30986	3920471	dc1c191d6fc7361d61c35199d6e23c07cfb877404bbd9ac229d5dfd03677fa4c
replica_0029__exact3tag	29	exact3tag	108843	14405760	da09fca6b1f8aae4e952b170fe84be27cca13ce4e0d2ec7c3bbff1584d699621
replica_0029__ge4tag	29	ge4tag	30544	4157063	a3447769e9811323f978b0ab5f65471543ebe67505f52e44f9882c4b36d207b2
