search_root	path	bytes	matched_anchors	event_payload	content_opened	sha256	status
/uscms_data/d3/iturkmen/hh4b_delphes	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_storage_safe_timing.log	883606	ttbar_100k	False	False	b5a212c039ca112c7e02e7bc8e04f6c956527d98b43ebe9aec9e2fa5299b7f3d	exact_legacy_filename_match
/uscms_data/d3/iturkmen/hh4b_delphes	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard000_generate_events.log	4492	ttbar_100k_shard000,ttbar_100k	False	False	d1935dea427494ba9f6f98702f91a4802e025d93ab17a61025027b4a5b9da5f5	exact_legacy_filename_match
/uscms_data/d3/iturkmen/hh4b_delphes	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard000_pipeline.log	80756	ttbar_100k_shard000,ttbar_100k	False	False	7cf644e2dd69f9faf8c4fd5adb65dad237830e23172b537abe906c0e64954123	exact_legacy_filename_match
/uscms_data/d3/iturkmen/hh4b_delphes	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard000_lhe_to_hepmc3.log	68549	ttbar_100k_shard000,ttbar_100k	False	False	5181f8c0a548c699d8b78a941999caeeffa9eab4036df20ea7d1641c567730c0	exact_legacy_filename_match
/uscms_data/d3/iturkmen/hh4b_delphes	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard000_pythia8_delphes.log	8127	ttbar_100k_shard000,ttbar_100k	False	False	efd78f7a8141d21a38f61c817c9dc99218c4b5fb5dd7d9d656a0b50d911836a6	exact_legacy_filename_match
/uscms_data/d3/iturkmen/hh4b_delphes	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard000_diagnostic.log	1608	ttbar_100k_shard000,ttbar_100k	False	False	bccedbc4123b6915759514c8f7346e5bfc240261f4664ab65696dec114b38107	exact_legacy_filename_match
/uscms_data/d3/iturkmen/hh4b_delphes	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard000_hh4b_candidates.log	776	ttbar_100k_shard000,ttbar_100k	False	False	78b5dca914e2be77a99548ee70b619d4a722c85a96bc45303da5e20fc9bbc8cb	exact_legacy_filename_match
/uscms_data/d3/iturkmen/hh4b_delphes	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard001_generate_events.log	4500	ttbar_100k	False	False	fa665656b668f48eb10e81fa18230d6c892df1a855f30cd9ac7c02d4db9375ae	exact_legacy_filename_match
/uscms_data/d3/iturkmen/hh4b_delphes	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard001_pipeline.log	81307	ttbar_100k	False	False	41aba69f526ad6f7863bb24799eb3908608cdea4cb72add1843d87d543aafda7	exact_legacy_filename_match
/uscms_data/d3/iturkmen/hh4b_delphes	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard001_lhe_to_hepmc3.log	69099	ttbar_100k	False	False	c36fbfa08f662d16df219cb5c6f211f12599169fb2d216f982ab79377ae48727	exact_legacy_filename_match
/uscms_data/d3/iturkmen/hh4b_delphes	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard001_pythia8_delphes.log	8128	ttbar_100k	False	False	20a179e296fbe0e7a16e2c6a6c737cd5e9abe6ca464b0c81d2294e5d7b325dc3	exact_legacy_filename_match
/uscms_data/d3/iturkmen/hh4b_delphes	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard001_diagnostic.log	1608	ttbar_100k	False	False	172d409c129440b86e6dbdf1331d3d3fc268ea23e44267bffe3947908883fb43	exact_legacy_filename_match
/uscms_data/d3/iturkmen/hh4b_delphes	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard001_hh4b_candidates.log	776	ttbar_100k	False	False	004ba1a1b5ccedb147b7b028c99a829bfe65a151074f2975b822a1107c6bb058	exact_legacy_filename_match
