threshold,signal_xsec_pb,background_xsec_pb,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows
0.915,1.597865490998967e-05,0.0013842165399411827,7.190394709495352,622.8974429735322,0.011543464804046213,0.288100795306538,0.11543464804046212,7,1
0.92,9.392430555555556e-06,0.0013842165399411827,4.22659375,622.8974429735322,0.0067853766260838454,0.1693488424501392,0.06785376626083844,3,1
0.91,2.288948324848753e-05,0.005802888812489635,10.300267461819388,2611.2999656203356,0.0039444979885229214,0.201567319485066,0.039444979885229214,13,3
0.9,3.967964811863657e-05,0.013560121392609726,17.855841653386456,6102.054626674377,0.0029262015412533106,0.22858213264932695,0.029262015412533104,25,6
0.905,2.6507199409768333e-05,0.013164392527131178,11.92823973439575,5923.97663720903,0.002013552798212168,0.15497787098466068,0.020135527982121676,17,4
0.895,4.3621968263981134e-05,0.025591036219679692,19.62988571879151,11515.966298855861,0.0017045799900214874,0.18292268968791314,0.017045799900214872,31,10
0.89,6.273143335915598e-05,0.03737121220686969,28.22914501162019,16817.04549309136,0.0016786031186760515,0.21768217854033012,0.016786031186760513,39,13
0.885,6.93176577135901e-05,0.048200491113892824,31.19294597111554,21690.22100125177,0.0014381110256698332,0.2117992434457325,0.014381110256698332,43,19
0.88,7.903469225320939e-05,0.06668076245881094,35.565611513944226,30006.343106464923,0.0011852697740525919,0.2053164492269797,0.011852697740525919,48,29
0.875,9.798185535635237e-05,0.08522919202371469,44.091834910358564,38353.136410671614,0.0011496278801879207,0.22514262746443925,0.011496278801879208,55,37
