threshold,sample,group,selected_test_rows,xsec_pb,expected_events_450fb,fraction_within_group_at_threshold
0.84,VBF_HH4b_SMnorm,signal,45,7.303589641434264e-06,3.286615338645419,0.04728721754635661
0.84,Zbbbb_100k,background,16,0.003165830923828383,1424.6239157227724,0.012723275200264315
0.84,ggF_HH4b_SMnorm,signal,47,0.00014714807870370379,66.2166354166667,0.9527127824536434
0.84,qcd_bbbb_iht200to400_combined120k,background,33,0.10013703917603989,45061.66762921795,0.40244445702605397
0.84,qcd_bbbb_iht400to600_20000,background,23,0.0318369804186472,14326.64118839124,0.12795082022953702
0.84,qcd_bbbb_iht600plus_20000,background,13,0.0032596049184396396,1466.8222132978378,0.013100146981725187
0.84,ttbar_200k,background,15,0.11042255571962316,49690.150073830424,0.4437813005624195
0.865,VBF_HH4b_SMnorm,signal,32,5.1936637450199205e-06,2.3371486852589642,0.04405037374323392
0.865,Zbbbb_100k,background,7,0.0013850510291749175,623.2729631287128,0.009867950144147087
0.865,ggF_HH4b_SMnorm,signal,36,0.00011270916666666665,50.71912499999999,0.955949626256766
0.865,qcd_bbbb_iht200to400_combined120k,background,17,0.05158574745432358,23213.58635444561,0.3675283966476447
0.865,qcd_bbbb_iht400to600_20000,background,14,0.019379031559176557,8720.564201629451,0.138068066258703
0.865,qcd_bbbb_iht600plus_20000,background,7,0.001755171879159806,789.8273456219127,0.012504917315772482
0.865,ttbar_200k,background,9,0.06625353343177388,29814.09004429825,0.47203066963373275
0.87,VBF_HH4b_SMnorm,signal,28,4.544455776892431e-06,2.0450050996015943,0.042132445389729385
0.87,Zbbbb_100k,background,7,0.0013850510291749175,623.2729631287128,0.012184616878565943
0.87,ggF_HH4b_SMnorm,signal,33,0.00010331673611111111,46.49253125,0.9578675546102706
0.87,qcd_bbbb_iht200to400_combined120k,background,12,0.036413468791287235,16386.060956079255,0.32033777607873243
0.87,qcd_bbbb_iht400to600_20000,background,11,0.01522638193935301,6851.871872708854,0.1339500325040386
0.87,qcd_bbbb_iht600plus_20000,background,7,0.001755171879159806,789.8273456219127,0.015440656302991735
0.87,ttbar_200k,background,8,0.058892029717132345,26501.413372709554,0.5180869182356713
0.885,VBF_HH4b_SMnorm,signal,22,3.5706438247011966e-06,1.6067897211155384,0.0515113167766653
0.885,Zbbbb_100k,background,3,0.0005935932982178218,267.1169841980198,0.012315088176492262
0.885,ggF_HH4b_SMnorm,signal,21,6.574701388888889e-05,29.586156250000002,0.9484886832233347
0.885,qcd_bbbb_iht200to400_combined120k,background,3,0.009103367197821809,4096.515239019814,0.18886461501629692
0.885,qcd_bbbb_iht400to600_20000,background,6,0.008305299239647096,3737.384657841193,0.17230735720145518
0.885,qcd_bbbb_iht600plus_20000,background,3,0.0007522165196399167,338.4974338379625,0.015605992848963015
0.885,ttbar_200k,background,4,0.029446014858566173,13250.706686354777,0.6109069467567926
0.91,VBF_HH4b_SMnorm,signal,6,9.73811952191235e-07,0.4382153784860558,0.04254407762812128
0.91,ggF_HH4b_SMnorm,signal,7,2.1915671296296297e-05,9.862052083333333,0.9574559223718787
0.91,qcd_bbbb_iht200to400_combined120k,background,1,0.0030344557326072693,1365.5050796732712,0.5229215707314898
0.91,qcd_bbbb_iht400to600_20000,background,2,0.0027684330798823653,1245.7948859470644,0.4770784292685102
