sample,group,test_rows,xsec_pb,expected_events_450fb,median_bdt_score,q90_bdt_score,q99_bdt_score
VBF_HH4b_SMnorm,signal,239,4.07378e-05,18.33201,0.6395118139443066,0.8719222010418846,0.9027962100866204
Zbbbb_100k,background,1203,0.23981169248,107915.261616,0.3767280454102173,0.7367594113681873,0.8807353502532348
ggF_HH4b_SMnorm,signal,228,0.0006762550000000001,304.31475,0.6733870596453327,0.8788436941661706,0.9270007817594063
qcd_bbbb_iht100to200_20000,background,106,3.248278644561768,1461725.3900527956,0.25078997012102766,0.570865723126655,0.6723367872020575
qcd_bbbb_iht200to400_20000,background,485,8.95020210647583,4027590.9479141235,0.3862153031858582,0.7403124255649544,0.866826616310743
qcd_bbbb_iht400to600_20000,background,1015,1.4188219534397122,638469.8790478705,0.2137319960564212,0.5827915217941957,0.8754502887012668
qcd_bbbb_iht600plus_20000,background,1332,0.3294708356022835,148261.8760210276,0.10491787359386101,0.39493817099869605,0.8160028497990361
ttbar_200k,background,249,1.928713973236084,867921.2879562378,0.45645961031999066,0.8103588835726085,0.8958076548326447
