threshold,signal_xsec_pb,background_xsec_pb,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows
0.91,1.5171055600822141e-05,0.0029950529979182973,6.8269750203699635,1347.7738490632337,0.005065371334452759,0.1859601128446825,0.05065371334452759,7,3
0.84,0.00016486992426411215,0.35728216836518983,74.19146591885047,160776.97576433542,0.0004614557872241561,0.18502994706505563,0.00461455787224156,98,91
0.8300000000000001,0.00017741585125523015,0.4228653725161648,79.83713306485356,190289.41763227416,0.00041955634768474234,0.18301960539327677,0.004195563476847424,106,105
0.865,0.00011765224700139471,0.18953928447510796,52.94351115062762,85292.67801379858,0.0006207275042068965,0.18128291022729937,0.006207275042068965,67,51
0.87,0.00010807235071203114,0.16154287669148118,48.632557820414014,72694.29451116653,0.0006690010288626378,0.18037525112409045,0.006690010288626378,60,46
0.835,0.00016783595496586658,0.39486896473253813,75.52617973463997,177691.03412964215,0.0004250421531090679,0.17916977995888095,0.004250421531090678,99,100
0.86,0.00012689124119870808,0.22997315593035092,57.10105853941863,103487.92016865792,0.0005517654470817368,0.1775003974469994,0.005517654470817368,72,57
0.885,5.5263514137855095e-05,0.04400829832974241,24.868581362034792,19803.734248384084,0.0012557521248329204,0.1767166485845506,0.012557521248329205,29,21
0.88,6.763899008294796e-05,0.06650210562775934,30.437545537326585,29925.9475324917,0.0010170954655413808,0.17594854233048982,0.01017095465541381,36,30
0.845,0.00014969886866329004,0.3365849046390499,67.36449089848051,151463.20708757246,0.00044475811778851317,0.1730921840459286,0.004447581177885131,91,85
