ordinal	member_index	process_or_mode	campaign	transfer_performed_this_run	candidate_opened_this_run	sidecar_reused	temporary_bundle_removed	temporary_root_removed	status
1	398	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	True	False	True	True	train_candidate_join_and_sidecar_pass
2	399	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	True	False	True	True	train_candidate_join_and_sidecar_pass
3	400	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	True	False	True	True	train_candidate_join_and_sidecar_pass
4	401	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	True	False	True	True	train_candidate_join_and_sidecar_pass
5	403	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	True	False	True	True	train_candidate_join_and_sidecar_pass
6	404	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	True	False	True	True	train_candidate_join_and_sidecar_pass
7	405	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	True	False	True	True	train_candidate_join_and_sidecar_pass
8	406	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	True	False	True	True	train_candidate_join_and_sidecar_pass
9	408	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	True	False	True	True	train_candidate_join_and_sidecar_pass
10	409	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	True	False	True	True	train_candidate_join_and_sidecar_pass
11	410	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	True	False	True	True	train_candidate_join_and_sidecar_pass
12	411	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	True	False	True	True	train_candidate_join_and_sidecar_pass
