sample_class	process_or_mode	members	generated_events	members_with_normalization_evidence	members_without_normalization_evidence	candidate_normalization_keys	normalization_status
background	bbh_hbb_4fs	5	50000	5	0	"{""generator_xsec_pb"":5}"	inventory_only_not_frozen
background	ggh_hbb	10	100000	10	0	"{""generator_xsec_pb"":10}"	inventory_only_not_frozen
background	qcd_bbbb_general	15	150000	15	0	"{""generator_xsec_pb"":15}"	inventory_only_not_frozen
background	qcd_bbbb_iht400to600	15	150000	15	0	"{""generator_xsec_pb"":15}"	inventory_only_not_frozen
background	qcd_hardqcd	261	2510000	261	0	"{""pthat_max_GeV"":261,""pthat_min_GeV"":261}"	inventory_only_not_frozen
background	schannel_single_top	3	30000	3	0	"{""generator_xsec_pb"":3}"	inventory_only_not_frozen
background	tchannel_antitop	8	80000	8	0	"{""generator_xsec_pb"":8}"	inventory_only_not_frozen
background	tchannel_top	8	80000	8	0	"{""generator_xsec_pb"":8}"	inventory_only_not_frozen
background	ttbar_inclusive	75	750000	75	0	"{""generator_xsec_pb"":75}"	inventory_only_not_frozen
background	tth_hbb	4	40000	4	0	"{""generator_xsec_pb"":4}"	inventory_only_not_frozen
background	tttt	4	40000	4	0	"{""generator_xsec_pb"":4}"	inventory_only_not_frozen
background	ttw	6	60000	6	0	"{""generator_xsec_pb"":6}"	inventory_only_not_frozen
background	ttz_zbb	4	40000	4	0	"{""generator_xsec_pb"":4}"	inventory_only_not_frozen
background	tw_antitop	7	70000	7	0	"{""generator_xsec_pb"":7}"	inventory_only_not_frozen
background	tw_top	7	70000	7	0	"{""generator_xsec_pb"":7}"	inventory_only_not_frozen
background	vbf_hbb	5	50000	5	0	"{""generator_xsec_pb"":5}"	inventory_only_not_frozen
background	wh_hbb	6	60000	6	0	"{""generator_xsec_pb"":6}"	inventory_only_not_frozen
background	ww	4	40000	4	0	"{""generator_xsec_pb"":4}"	inventory_only_not_frozen
background	wwz_zbb	5	26000	5	0	"{""filter_normalization_status"":5,""generator_xsec_pb"":5,""generator_xsec_semantics"":5}"	inventory_only_not_frozen
background	wz_zbb	6	60000	6	0	"{""generator_xsec_pb"":6}"	inventory_only_not_frozen
background	wzz_zbb	5	16500	5	0	"{""filter_normalization_status"":5,""generator_xsec_pb"":5,""generator_xsec_semantics"":5}"	inventory_only_not_frozen
background	zbbbb	25	250000	25	0	"{""generator_xsec_pb"":25}"	inventory_only_not_frozen
background	zzz_zbb	5	7500	5	0	"{""filter_normalization_status"":5,""generator_xsec_pb"":5,""generator_xsec_semantics"":5}"	inventory_only_not_frozen
signal	ggf_hh4b	100	100000	0	100	{}	inventory_only_not_frozen
signal	vbf_hh4b	10	100000	0	10	{}	inventory_only_not_frozen
