campaign,job_id,bin_id,pthat_min_GeV,pthat_max_GeV,n_events,shard_id,seed,dataset_split,split_salt,payload_sha256,wrapper_sha256,card_sha256,git_head,eos_directory,allocation_audit_sha256
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,10,0,50,75,10000,1829,1201829,test,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,11,0,50,75,10000,1830,1201830,train,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,12,0,50,75,10000,1831,1201831,validation,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,13,0,50,75,10000,1832,1201832,train,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,14,0,50,75,10000,1833,1201833,validation,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,15,0,50,75,10000,1834,1201834,train,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,16,0,50,75,10000,1835,1201835,train,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,17,0,50,75,10000,1836,1201836,train,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,18,0,50,75,10000,1837,1201837,train,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,19,0,50,75,10000,1838,1201838,train,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,20,0,50,75,10000,1839,1201839,train,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,21,0,50,75,10000,1840,1201840,train,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,22,0,50,75,10000,1841,1201841,test,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,23,0,50,75,10000,1842,1201842,validation,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,24,0,50,75,10000,1843,1201843,train,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,25,0,50,75,10000,1844,1201844,train,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,26,0,50,75,10000,1845,1201845,train,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,27,0,50,75,10000,1846,1201846,train,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,28,0,50,75,10000,1847,1201847,train,qcd-adaptive-whole-shard-v1,0b3d93777252bf35c5bd2f9037dcc5fbebd6b3b7e99a67a04a675319d6df52a4,3bdc7c835d05922531a4c22a5f8c8d49fe5a8909f2e5b4c51d16c8ded45c4ff7,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ce9964783b56a0d9eca84a6b2a5304a06c7b978f,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,dc886abe9cc58ff3f8e6fd2ba074515d9417ec446d5642ea5d3e2bf9d6f4e969
