job_id,bin_id,shard_id,remote_bundle,receipt_adler32,eos_adler32,downloaded_adler32,bundle_bytes,bundle_sha256,receipt_sha256,all_checks_pass
0,0,1819,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_bundle.tar.gz,6e32bebe,6e32bebe,6e32bebe,1618275041,247a0d2aa2d3ef2044063396817c9f5b1006592d6d410e3900a93530d46c5937,b818d7bd067fde2c3478995356216fc46aa81b1667b109ba5774507d201fae4c,True
1,0,1820,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1820_seed1201820_bundle.tar.gz,27307645,27307645,27307645,1593922957,012f2e708e26ee20f8165c02bbabf0e1f7d0ed34a417d5b0fc3a720db1acfe37,e4d335c59a0c655ece0b7f49dfcfa4b1960b2fdd027f604c089d9f3cf2bda5c8,True
2,0,1821,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1821_seed1201821_bundle.tar.gz,99e4a8f0,99e4a8f0,99e4a8f0,1608588730,8690530b76a9098be05b1b35710624cfd3644619f9ed5b08ccdb44e43014a69c,178b3677cba9839ec5274984266ad47afe0ad9dbd9f968c37626167de0bcb712,True
3,0,1822,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1822_seed1201822_bundle.tar.gz,7ddc0c01,7ddc0c01,7ddc0c01,1608667167,b32921a5b8b07f28913fa9e314232b05445648dd58167284876daf03c82afc65,b392857f302a2520d3dd90ba3cc5238ff3222de96c42bcbc00a0bc94c6dc2db3,True
4,0,1823,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1823_seed1201823_bundle.tar.gz,d06454da,d06454da,d06454da,1594883000,494b6763f1906996c4b93e5ccbc4efc65ad434e96cc6b24224f2e9123a277fc9,abdcaf7cb12984352ebd38e7ef58e263d665b6b11c301e1aeaab20771912bc39,True
5,0,1824,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1824_seed1201824_bundle.tar.gz,875ca3a0,875ca3a0,875ca3a0,1601783417,536eff24766b993808a31f34d6c31fb97895518838c1b920cf33d87fbdf49117,bbb3cb70565405ab9361dcf05c371ab07372ef3b27ed94c994b80ae265f58e47,True
6,0,1825,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1825_seed1201825_bundle.tar.gz,25a95201,25a95201,25a95201,1602526240,3dcc875bbd35d10e85d6b7fcd8811bcdb716548686de83915edaeae7405a0c93,5b23093a8050d0d80d51f36dc05c1a39f766e0f553289a7c55704f978d0b2848,True
7,0,1826,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1826_seed1201826_bundle.tar.gz,68daf467,68daf467,68daf467,1608847704,0e0195439b9c8f094385ee9243c6c516646d89dc81327d71d21b1a12462f0f61,72c4c071497d76057be6283709f2826e439260b054152f96f608c2581089d6b1,True
8,0,1827,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1827_seed1201827_bundle.tar.gz,52d811fe,52d811fe,52d811fe,1610592555,0398bf125b5d18dd99bdb767c1f95b1a1084cf029a6d0deafd4057a43ca56f31,6f295003764d729a95bd72d1b8f7e2ac5a70b71046dcd57814617e4a6a77c94e,True
9,0,1828,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1828_seed1201828_bundle.tar.gz,b4d26d3d,b4d26d3d,b4d26d3d,1623802624,5aff2387a9563a6a6b69aa832e8a9b3279232f1d30261c0ee65625418354ae27,54bf6c250e3a9257820acc3ee407f96afbd18a3ced91f0cf6f58a03bd574d4a6,True
