ordinal	sample_class	process_or_mode	campaign	source_tag	remote_bundle_path	bin_index	pthat_min_GeV	pthat_max_GeV	shard_id	seed	n_events	sigma_gen_pb	event_weight_convention	sum_event_weights	sum_squared_event_weights	min_event_weight	max_event_weight	weights_uniform_positive	per_event_generator_weight_transport_required	source_bundle_size_bytes	source_bundle_sha256	small_provenance_members_opened	identity_pass	exact_metadata_recovered	normalization_denominator_authorized	status
15	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1048_seed1201048	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1048_seed1201048_bundle.tar.gz	0	50	75	1048	1201048	10000	18166343.508333173	pythia_info_weight_normalized_to_sigma_gen	10000.037863696645	10000.07645036876	1	1.020684804207867	False	True	1611039447	34ee79726196c7b7230c2bd0681b085250f748835df69033b797873819a23a29	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
16	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1049_seed1201049	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1049_seed1201049_bundle.tar.gz	0	50	75	1049	1201049	10000	18282418.522611395	pythia_info_weight_normalized_to_sigma_gen	10000.093248557409	10000.189880292713	1	1.0463944936087743	False	True	1595678192	0e942bfaded193e50c1d910b8f7e09b3c994e67bc3d9bf95fc368a918ec60a1e	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
17	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1050_seed1201050	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1050_seed1201050_bundle.tar.gz	0	50	75	1050	1201050	10000	18058348.36643834	pythia_info_weight_normalized_to_sigma_gen	10000.020317374023	10000.041047543735	1	1.0203173740238287	False	True	1605865786	cb51701b350006b5ec7dbcd1654ff03a4ddde204a28d1400ee53471c414f4934	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
18	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1051_seed1201051	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1051_seed1201051_bundle.tar.gz	0	50	75	1051	1201051	10000	18221983.763739068	pythia_info_weight_normalized_to_sigma_gen	10000.050602233861	10000.102687945771	1	1.035380427726356	False	True	1610583058	8224c7ab90ec239ce543f03bc6376e783fa4a65ab3bd0e7deb21206025ef6ced	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
19	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1052_seed1201052	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1052_seed1201052_bundle.tar.gz	0	50	75	1052	1201052	10000	18094430.76820042	pythia_info_weight_normalized_to_sigma_gen	10000.040284500006	10000.081640075234	1	1.0315364316142845	False	True	1599746168	3bc4a9634fee9e2f2e26b474e055fc3c14d267e375018b4277915e6ce0fb05a7	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
20	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1053_seed1201053	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1053_seed1201053_bundle.tar.gz	0	50	75	1053	1201053	10000	18245768.127406377	pythia_info_weight_normalized_to_sigma_gen	10000	10000	1	1	True	False	1606100514	546c2b9d643f11630e4beb61a525c93787aca762d7c398327844f866284e7278	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
21	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1054_seed1201054	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1054_seed1201054_bundle.tar.gz	0	50	75	1054	1201054	10000	18434883.908959582	pythia_info_weight_normalized_to_sigma_gen	10000.016559102221	10000.033315088614	1	1.0137468282570272	False	True	1613823867	66b33fed74de5490b673ca439fd92e0c540f0dc8a4595f5a57aef7ad4f25c565	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
22	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1055_seed1201055	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1055_seed1201055_bundle.tar.gz	0	50	75	1055	1201055	10000	18174900.783443887	pythia_info_weight_normalized_to_sigma_gen	10000.04432362313	10000.090078936033	1	1.0371517747438224	False	True	1610945595	3edf0a6fcab7d3dc295a1189d9aff4c79411e2e710e7ca1f3cad875213e88c0a	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
23	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1056_seed1201056	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1056_seed1201056_bundle.tar.gz	0	50	75	1056	1201056	10000	18245041.51688885	pythia_info_weight_normalized_to_sigma_gen	10000.043683967535	10000.089276224091	1	1.0436839675352223	False	True	1604202664	73252654f997fa17b1c2edb820d9aa33d59ac88eb89cfa67150d1d50117cad9f	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
24	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1057_seed1201057	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1057_seed1201057_bundle.tar.gz	0	50	75	1057	1201057	10000	18232041.341207072	pythia_info_weight_normalized_to_sigma_gen	10000.073271563031	10000.148319547074	1	1.036015519960427	False	True	1606244123	ca897c8ef4da31167dcb49d45eb6d743025009624cc6b9407e084e612eae6453	7	True	True	False	qcd_exact_small_bundle_provenance_recovered
