category,analysis_sample,n_test_rows,background_events_450fb,neff_sample,mean_qcd_score,mean_top_score,fraction_of_category_background
CAT0_high_purity_diagnostic,ttbar_200k,3,9877.667457669282,2.999999999999999,0.9083958205244075,0.8750300720727422,0.5150678298942797
CAT0_high_purity_diagnostic,qcd_bbbb_iht200to400_combined220k_bdtv2,8,5931.366131095784,8.0,0.8845801005301261,0.8868117088726317,0.30928920157966133
CAT0_high_purity_diagnostic,qcd_bbbb_iht400to600_combined120k_bdtv2,20,2080.5665170101433,20.000000000000004,0.8880867691410573,0.8834878108663007,0.10849047970683305
CAT0_high_purity_diagnostic,qcd_bbbb_iht600plus_20000,8,932.0191517579128,8.0,0.8908996371929048,0.9057021140095115,0.04859984241959164
CAT0_high_purity_diagnostic,Zbbbb_100k,4,355.7917248159867,4.0,0.8738194325276354,0.8677744588465136,0.01855264639963431
CAT1_tight,ttbar_200k,20,65851.11638446189,19.999999999999996,0.8878849942733208,0.662115762349435,0.6104706767574247
CAT1_tight,qcd_bbbb_iht200to400_combined220k_bdtv2,44,32622.51372102681,44.00000000000002,0.879009534201291,0.7215810864967174,0.30242597426188417
CAT1_tight,qcd_bbbb_iht400to600_combined120k_bdtv2,53,5513.501270076879,52.99999999999996,0.8905875076094871,0.70241492498186,0.05111273789188103
CAT1_tight,Zbbbb_100k,24,2134.75034889592,23.999999999999996,0.8877216914808973,0.7066185543045401,0.019790135107051004
CAT1_tight,qcd_bbbb_iht600plus_20000,15,1747.5359095460865,15.000000000000002,0.8968707890544622,0.7353308547923219,0.01620047598175915
CAT2_medium_tight,qcd_bbbb_iht200to400_combined220k_bdtv2,92,68210.71050760151,91.99999999999997,0.8232348832831969,0.759410267428789,0.7765385145996543
CAT2_medium_tight,ttbar_200k,3,9877.667457669282,2.999999999999999,0.823714915113483,0.6864609462355853,0.11245139008533046
CAT2_medium_tight,qcd_bbbb_iht400to600_combined120k_bdtv2,68,7073.926157834487,67.99999999999997,0.8264568122104712,0.7541162236822136,0.08053245700145967
CAT2_medium_tight,Zbbbb_100k,17,1512.1148304679434,17.0,0.8226243035617444,0.7144623345918946,0.017214531202175767
CAT2_medium_tight,qcd_bbbb_iht600plus_20000,10,1165.0239396973911,10.000000000000002,0.8191608533459224,0.7806852561709888,0.013263107111379959
CAT3_medium,qcd_bbbb_iht200to400_combined220k_bdtv2,246,182389.50853119537,246.00000000000009,0.7464072688748631,0.7987292191907548,0.5692821402581485
CAT3_medium,ttbar_200k,18,59266.00474601569,18.0,0.7519142084757937,0.6647687866548659,0.18498365557353735
CAT3_medium,qcd_bbbb_iht100to200_20000,4,56934.11470413209,4.0,0.7553887840569524,0.7896566930184453,0.1777052580133887
CAT3_medium,qcd_bbbb_iht400to600_combined120k_bdtv2,126,13107.569057163902,126.00000000000007,0.7479483895170561,0.7492462862171155,0.040911919915434636
CAT3_medium,Zbbbb_100k,61,5425.823803443797,60.99999999999997,0.7496270112898331,0.7443282305880038,0.01693531942907664
CAT3_medium,qcd_bbbb_iht600plus_20000,28,3262.0670311526947,27.999999999999996,0.7514661311648794,0.7969399127301315,0.010181706810414089
CAT4_loose,qcd_bbbb_iht200to400_combined220k_bdtv2,684,507131.80420868954,683.9999999999999,0.5999443215979636,0.7970527322786461,0.6259714615026859
CAT4_loose,qcd_bbbb_iht100to200_20000,13,185035.8727884293,12.999999999999998,0.5790663243868095,0.7917378747547019,0.22839659188902728
CAT4_loose,ttbar_200k,19,62558.56056523879,19.0,0.6356358572864851,0.6495732129902901,0.077218335078847
CAT4_loose,qcd_bbbb_iht400to600_combined120k_bdtv2,319,33185.035946311786,319.0000000000002,0.5986797057774547,0.7190966032929575,0.04096151193622184
CAT4_loose,Zbbbb_100k,178,15832.731754311408,177.99999999999991,0.5981808300401459,0.7754252598953334,0.01954292385840564
CAT4_loose,qcd_bbbb_iht600plus_20000,55,6407.631668335651,55.000000000000064,0.5914674587323955,0.7221559807787973,0.007909175734812323
