sample_id,sample,selected_test_rows,expected_events_450fb_scaled,group
0,ggF_HH4b_SMnorm,5,15.612912138233686,signal
1,VBF_HH4b_SMnorm,2,0.3486779971950682,signal
2,ttbar_200k,1,7607.278316281735,background
3,Zbbbb_100k,0,0.0,background
4,qcd_bbbb_iht100to200_20000,0,0.0,background
5,qcd_bbbb_iht200to400_combined220k_rootkeep_v1,0,0.0,background
6,qcd_bbbb_iht400to600_combined120k_rootkeep_v1,0,0.0,background
7,qcd_bbbb_iht600plus_20000,2,535.7640741053996,background
