epoch,loss,qcd_loss,top_loss,assignment_loss,assignment_acc_batch_mean,assignment_events_seen,val_auc_all_combined_unweighted,val_auc_all_combined_weighted,val_auc_qcd_head_unweighted,val_auc_qcd_head_weighted,val_auc_top_head_unweighted,val_auc_top_head_weighted,val_model_selection_metric,lr
1,3.3600254511011056,1.2634328850384415,0.45428690776742736,3.2846113484481285,0.1445219024833629,644,0.592127951607203,0.45558440844489684,0.6920856736990578,0.680770764667196,0.7423774784885896,0.6903116791478159,0.6755303679316168,0.001
2,2.9761017889812074,1.1935619126106132,0.4340154898577723,2.697048803855633,0.26106672995284613,644,0.6003854657231386,0.5078460105601509,0.6760900373621923,0.7040894290463235,0.7458380097268985,0.6862630278306237,0.6741045042707431,0.001
3,2.845007773103385,1.1614911206837357,0.42866605520248413,2.5097011800470024,0.33332895049092864,644,0.6255023793673101,0.4796585300730515,0.6889518005966573,0.6709838840208928,0.7343808454919565,0.6796279968819939,0.682945008485308,0.001
4,2.6455726048042036,1.1463019806763222,0.41290467232465744,2.1727318774009574,0.40735103019585783,644,0.6332330629320051,0.5295518564418258,0.6954186556638106,0.7385133928829736,0.7359240553684998,0.6834426380301422,0.6881919246547717,0.001
5,2.6157961467216753,1.1260056464836514,0.41568921609171505,2.14820256212662,0.4118107243574308,644,0.654715996416566,0.5857811213916247,0.7042622682013108,0.7369890315053655,0.7567340067340067,0.6942255859961356,0.7052374237839611,0.001
6,2.4873829525092552,1.1157162127823665,0.4050399270550958,1.9332535883475994,0.45348353753526166,644,0.5974661176451249,0.47789426100080223,0.7140487197634788,0.7433974328688865,0.7601477740366629,0.7065782091561081,0.6905542038150889,0.001
7,2.3678219708903083,1.0904563346813465,0.39570879371001805,1.7633136593062302,0.514714882818331,644,0.6651157630002219,0.5810998598963797,0.710330068951901,0.7390183751284896,0.7470538720538721,0.6963787270256888,0.7074999013353316,0.001
8,2.225440428174775,1.0688663392231381,0.37931100690159303,1.55452616769692,0.5361681478314339,644,0.6391383320594061,0.5276117399227761,0.6988787995910739,0.7006011097518448,0.7050130939019829,0.6576659617637347,0.6810100751841542,0.001
9,2.19162157486225,1.0673332687081962,0.3811214491724968,1.48633370676945,0.5736709486822917,644,0.6505929925783465,0.5334308758816588,0.7179162839258915,0.7293119034984037,0.7638421249532361,0.7070690572157776,0.7107838004858248,0.001
10,2.0819139562804123,1.0585999416893925,0.3651224146115369,1.3163831639906456,0.5918698808871755,644,0.6387142375751,0.533505544420339,0.7138035983489024,0.7208478907261251,0.7543958099513655,0.7124596032626737,0.7023045486251226,0.001
11,1.9746208334791249,1.037315962643459,0.3645728364072997,1.1454640873547257,0.6197850926993129,644,0.6512348875245539,0.5871404986441071,0.7124190388228818,0.7683496697414532,0.7595866068088291,0.7157183025301035,0.7077468443854217,0.001
12,1.9090899516796243,1.0210088440056504,0.362227864049632,1.0517065273276691,0.6825564141740612,644,0.6451825003493027,0.5544415314195004,0.6998634682086728,0.7300220604796476,0.7344276094276093,0.6811088182755545,0.6931578593285282,0.001
13,1.8236757701840893,0.9799146230878502,0.3399166269549008,1.0076890464486747,0.6899240845361535,644,0.6551889932687329,0.5850637385494097,0.708485383903638,0.7289602481705486,0.7100168350168351,0.6893766665482197,0.6912304040630687,0.001
14,1.8155339545217053,1.0007720589637756,0.3409773535255728,0.9475690763572167,0.7382228039388816,644,0.6526378512546129,0.5731627364661469,0.707902279378178,0.7339319717242248,0.7297512158623269,0.6942259606279259,0.6967637821650392,0.001
15,1.731584072113037,0.9995002993221941,0.3368252546622835,0.7905170123638778,0.7493147065915827,644,0.6577393133943175,0.5628300703769362,0.7225192123320332,0.7231666496207506,0.7342405536849981,0.7021822890886695,0.7048330264704497,0.0005
16,1.4419772851056065,0.904488337451014,0.3006160261815992,0.4737458462216731,0.8442144569426516,644,0.6427784763830329,0.585522016010905,0.6993941401759856,0.7146051653972795,0.7167976056864946,0.6935905138256291,0.6863234074151711,0.0005
17,1.311031664239949,0.8695196858767805,0.2816393428064626,0.31974525836392725,0.8841752392388936,644,0.6538312334081252,0.5709337410772533,0.7054577579672825,0.7004156324487738,0.716142910587355,0.6904806913146022,0.6918106339875876,0.0005
18,1.2496554296592186,0.855661455927224,0.2682784957618549,0.25143093301047537,0.9243050957707465,644,0.6568796179862086,0.5797795292367458,0.7033913760764846,0.6977010570667046,0.6873830901608678,0.6671094371415986,0.6825513614078537,0.0005
19,1.2215787593660683,0.8415078695478111,0.24215099652265681,0.27583978678388843,0.9143321724744539,644,0.6629122798366086,0.62224123689174,0.7038590309254547,0.7223945992481111,0.7195099139543584,0.6926718640175552,0.6954270749054738,0.0005
20,1.1524351208374417,0.8079004256889738,0.2380416451086258,0.21298611021183175,0.9299510833993592,644,0.6769936961149329,0.6143728725040751,0.7140687979680856,0.715426759576763,0.700430228208006,0.6867656904984157,0.6971642407636748,0.0005
21,1.0985737381310299,0.7828011903269537,0.21880410598783656,0.19393686853863043,0.9340095816162058,644,0.6574220644196234,0.5744399128978626,0.7042463729559969,0.6857745830071373,0.7011784511784512,0.6771252171917032,0.6876156295180239,0.00025
22,0.9943048964286673,0.744861247210667,0.18211171698981318,0.13466386085954204,0.9524345643413915,644,0.6601285433669486,0.59508427971999,0.7050327693031023,0.6949253074227024,0.6945847362514029,0.6741471157942682,0.6865820163071512,0.00025
23,0.9237263706223718,0.6986157159353125,0.17460421280100427,0.10101288701568184,0.9670778075316615,644,0.6664842074117907,0.6018518804887145,0.6982036699611653,0.6855420087592685,0.6792461653572766,0.6546742857047672,0.6813113475767443,0.00025
24,0.9038492081494167,0.7008629138099736,0.1571653619537066,0.0916418571522909,0.9697589376241826,644,0.662206277584634,0.614650401491438,0.6967848101689413,0.7023088881016212,0.6877572016460906,0.6577752733752439,0.6822494297998887,0.00025
25,0.8558112495932085,0.6580767215325914,0.15346675160629997,0.08853555824366752,0.9766738768893941,644,0.6534523427932705,0.584041730445401,0.6930209833969979,0.6669521998795835,0.6813973063973064,0.6510032674537499,0.6759568775291916,0.00025
26,0.8396941849897648,0.6581011337452921,0.1498961540517108,0.06339380167753852,0.9845975472903785,644,0.6532575552103623,0.6044444977600218,0.6933020782614953,0.6908528442122825,0.681771417882529,0.6671033468433297,0.6761103504514622,0.00025
27,0.8288115679190077,0.638850414547427,0.13417209909650787,0.11157810749839349,0.971908981822775,644,0.6618956037182238,0.6057634994398833,0.6951434169423237,0.6799106042506124,0.6818649457538346,0.669196926724105,0.6796346554714606,0.000125
28,0.7700228166991266,0.5990384395780235,0.12181252684315731,0.09834370825335319,0.9740073792558579,644,0.6570086544862787,0.6042708416195883,0.6917694419764985,0.678776634768258,0.6876636737747848,0.669310281124099,0.6788139234125206,0.000125
29,0.7256877566206044,0.5814099275860293,0.10796139235126562,0.07263287290296486,0.9800297333385568,644,0.6574878155024615,0.6019857054818107,0.6909370330771689,0.6747641257859718,0.6625982042648709,0.6483396134047257,0.6703410176148338,0.000125
30,0.7220738802490563,0.56188722520039,0.11446762764184125,0.09143804701583075,0.9762165994924615,644,0.6557971907849858,0.601213165580474,0.6907019507648958,0.6768413155564803,0.6751309390198279,0.655699920801567,0.6738766935232365,0.000125
