sample_class	process_or_mode	campaign	members	train_members	validation_members	test_members	generated_events	sum_generator_weights_candidate	sum_squared_generator_weights_candidate	min_generator_weight_candidate	max_generator_weight_candidate	negative_weight_events	zero_weight_events	positive_weight_events	all_member_entry_count_closures	all_member_denominators_recovered	normalization_denominator_authorized	reference_cross_section_assigned	physics_normalization_ready	campaign_denominator_status	campaign_denominator_value_frozen	campaign_denominator_use_authorized	cross_campaign_process_aggregation_authorized	process_reference_cross_section_assigned	physical_weight_application_authorized	physical_yield_calculation_authorized
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	1	0	1	0	10000	287.09711506962776	8.2424753481303092	0.028709711506962776	0.028709711506962776	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	4	3	0	1	40000	1147.522273760289	32.923882850154769	-0.028750250115990639	0.028821783140301704	1	0	39999	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	1	0	1	0	10000	128778.19061279297	1658382.2377504839	12.877819061279297	12.877819061279297	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	9	8	0	1	90000	1154784.4028606415	14818312.113597449	-12.85740852355957	12.85740852355957	2	0	89998	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	1	1	0	0	10000	3470123.9013671875	1204175989.0839829	347.01239013671875	347.01239013671875	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	14	10	3	1	140000	48573991.69921875	16853145896.290653	345.73855590820312	347.85104370117188	0	0	140000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	1	1	0	0	10000	97152.347564697266	943857.86373317381	9.7152347564697266	9.7152347564697266	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	14	11	2	1	140000	1369845.2854156494	13403547.545500614	9.7061605453491211	9.8273687362670898	0	0	140000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	1	0	0	10000	70187.997817993164	492635.5037698613	7.0187997817993164	7.0187997817993164	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	2	0	1	1	20000	139814.00012969971	977398.50043202075	6.9844999313354492	6.9969000816345215	0	0	20000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	1	1	0	0	10000	581240.00549316406	33783994.398569338	58.124000549316406	58.124000549316406	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	7	4	2	1	70000	4070380.0201416016	236686015.99797431	58.018001556396484	58.256999969482422	0	0	70000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	1	0	0	10000	1003600.0061035156	100721297.22509766	100.36000061035156	100.36000061035156	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	7	5	1	1	70000	7032850.0366210938	706588221.13584256	100.18800354003906	100.81600189208984	0	0	70000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	1	1	0	0	10000	5125641.4794921875	2627220057.629086	512.56414794921875	512.56414794921875	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	74	58	15	1	740000	379086586.30371094	194198431356.03503	511.08602905273438	513.92071533203125	0	0	740000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	1	0	0	10000	3309.130072593689	1095.0341837343913	0.3309130072593689	0.3309130072593689	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	1	1	1	30000	9896.6500163078308	3264.7936348012063	0.3296000063419342	0.33041998744010925	0	0	30000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	1	0	0	10000	91.307498514652252	0.83370592850032232	0.0091307498514652252	0.0091307498514652252	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	2	0	1	30000	275.06073005497456	2.5219510483536021	0.0091587956994771957	0.0091853411868214607	0	0	30000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	1	1	0	0	10000	3535.7201099395752	1250.1316695831122	0.35357201099395752	0.35357201099395752	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	3	1	1	50000	17645.860314369202	6227.5632371902739	0.35167199373245239	0.35430800914764404	0	0	50000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	0	0	1	10000	848.72700273990631	72.0337525179865	0.084872700273990631	0.084872700273990631	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	3	0	0	30000	2548.7799942493439	216.54326261656087	0.084758900105953217	0.085083402693271637	0	0	30000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	1	1	0	0	10000	279978.5041809082	7838796.2803378832	27.99785041809082	27.99785041809082	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	6	3	2	1	60000	1681371.4981079102	47116897.708026953	27.981679916381836	28.084920883178711	0	0	60000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	0	0	1	10000	280492.89703369141	7867626.5286353007	28.049289703369141	28.049289703369141	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	6	5	1	0	60000	1681723.4039306641	47136574.29033199	28.006820678710938	28.055200576782227	0	0	60000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	0	1	0	10000	27932.138442993164	78020.435799853658	2.7932138442993164	2.7932138442993164	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	4	3	0	1	40000	111710.23845672607	311981.04461403203	2.7828941345214844	2.7993650436401367	0	0	40000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	1	0	0	1	10000	9130.3002834320068	8336.2383265638582	0.91303002834320068	0.91303002834320068	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	4	1	0	50000	45675.200223922729	41724.526921394441	0.91225999593734741	0.91474002599716187	0	0	50000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	1	0	1	0	10000	646639.02282714844	41814202.584284939	64.663902282714844	64.663902282714844	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	3	2	0	1	30000	1940829.0100097656	125560621.39308429	64.658302307128906	64.749099731445312	0	0	30000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	0	0	1	5200	495.21063286066055	47.598660409793617	-0.095674388110637665	0.095674388110637665	12	0	5188	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	4	4	0	0	20800	1981.8741404861212	189.96938497875948	-0.09575614333152771	0.09575614333152771	31	0	20769	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	1	1	0	0	10000	35566.10107421875	126494.75456215441	3.556610107421875	3.556610107421875	0	0	10000	True	True	False	False	False	frozen_exact_sum_of_all_member_Event.Weight	True	True	False	False	False	False
