target_index	fragment_id	sample_class	source_index	process_or_mode	campaign	member_id	final_split	generated_events_frozen	candidate_rows_metadata	root_tree_entries	event_weight_values	sum_generator_weights_candidate	sum_squared_generator_weights_candidate	min_generator_weight_candidate	max_generator_weight_candidate	negative_weight_events	zero_weight_events	positive_weight_events	uniform_event_weights	signed_weight_sample_candidate	bundle_sha256	root_member_sha256	normalization_denominator_authorized	reference_cross_section_assigned	physical_weight_calculated	denominator_source_branch	denominator_value_status	denominator_value_frozen	denominator_use_authorized_within_campaign	cross_campaign_process_aggregation_authorized	process_reference_cross_section_assigned	physical_weight_application_authorized	physical_yield_calculation_authorized
11	011_7981f9237d69458a	background	6	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz	train	10000	1	10000	10000	128170.26138305664	1642761.590300106	12.817026138305664	12.817026138305664	0	0	10000	True	False	89896b7f49ae549477a7f085dfddd34f3cdc98f8852ec243bee3c429fbdaa2e9	27a7aef547c481960f57f7ecfb2be1f7c27b5f675df631b12a24c3e24889b10e	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
12	012_592e749759e4ee19	signal	6	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	ggf_shard_006	train	1000	67	1000	1000	0.99103001412004232	0.00098214048888677118	0.00099103001412004232	0.00099103001412004232	0	0	1000	True	False	9a741217d16c04c735924dd64343b9eb6c698855a25d3a5391a67715f63ad0eb	823c727f5fc1c8596760b918a571e78e51397c0f4593796794b8630384db4a27	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
13	013_06b0c26a56585ba6	background	7	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9703_10k_bundle.tar.gz	train	10000	7	10000	10000	128129.3429889679	1642369.7356779394	-12.815497398376465	12.815497398376465	1	0	9999	False	True	a81e56be20fd5fac83f4086ff0aefaac2bf993c729cba90d9c0d389824034067	bf1da14badcea5352ad0bf5992554245544793aab1dd2fd02b77f4f18018195a	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
14	014_ac7be40bd9f5ea7e	signal	7	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	ggf_shard_007	train	1000	72	1000	1000	0.9943000040948391	0.00098863249814299704	0.0009943000040948391	0.0009943000040948391	0	0	1000	True	False	c484307cbc100bed634235488d4c1c776169f7472033f8e643237db79f0aef65	81dc0584b6d8550d987346ceb1424c2c6454c270b2417f07c9b1cd40b5869623	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
15	015_104b83a804600d04	background	8	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9704_10k_bundle.tar.gz	train	10000	6	10000	10000	128320.36972045898	1646611.7285195286	12.832036972045898	12.832036972045898	0	0	10000	True	False	1d034de4737ab1d6dc2e7a7e86333ff732448addc735b07cda70869cf3bc6b00	8518df665aae0c2362c80bbbf0bb43574939e734d2b491bf4fac059b2fa02d3b	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
16	016_2052ed0cef6f891c	signal	8	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	ggf_shard_008	train	1000	77	1000	1000	1.00020004902035	0.0010004001380603104	0.00100020004902035	0.00100020004902035	0	0	1000	True	False	df73739b197f00142f569e53569a2879208f03dd2f5a7f24c2f0a52d13e5a7a9	e2b6eb85422884d64f364206d56c519978be82721808cefa4d0465c59b5d5d15	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
17	017_e481a176cdcbb1bf	background	9	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9705_10k_bundle.tar.gz	train	10000	3	10000	10000	128532.27615356445	1652054.6013216153	12.853227615356445	12.853227615356445	0	0	10000	True	False	0b7c321a149b2781e6c7840d63c6c932abb022dc5cae3b23c0d40e75f94fce44	829502f97f3d6c3eb2d8b61cdcb23a846283b6722f7bbf132e68a1276d4f65f0	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
18	018_6c210b34bfdf5cf9	signal	9	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	ggf_shard_009	train	1000	56	1000	1000	0.99373003467917442	0.0009874993818234732	0.00099373003467917442	0.00099373003467917442	0	0	1000	True	False	d1215a6c92773b52abda197ff3edad8ac531bd1d5e7cb89e68082e3c131e3f4d	238af841c621bd1a0f72479c834d5022b5454a9a068a6aa2150988a82cef2bc4	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
19	019_939e8385e566d69c	background	10	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9706_10k_bundle.tar.gz	train	10000	6	10000	10000	128234.1194152832	1644398.9382213112	12.82341194152832	12.82341194152832	0	0	10000	True	False	b7fb793a256c7c1b8a00ca8c1db29b084d1beb3946aa76161b3c4ac788509fbb	49affe767ce0237e458c0f412d70089f05499012392644256d9f87313c7ea768	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
20	020_785d6055c912725f	signal	10	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	ggf_shard_010	train	1000	74	1000	1000	0.9930699598044157	0.00098618794506594382	0.0009930699598044157	0.0009930699598044157	0	0	1000	True	False	b0318793748b31d47211a3f8c6b7de84a693c26cdb194bc0a7cb1c0118da061e	943a70930fe83b3c081cad8ab5373d9e9338d9d2baff4977eca8223b186a76dc	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
21	021_325c97ed797d1be4	background	11	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9707_10k_bundle.tar.gz	train	10000	2	10000	10000	128020.21980285645	1638917.6678371679	12.802021980285645	12.802021980285645	0	0	10000	True	False	e7d1f42355106f23a244e42fd687b12797d0da15150f802e535e4c812723facb	96c0f254c57f8829eb1642a50c2e2fd3dff3010f4868547ce126fa750c1a3587	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
22	022_6f29fd5bc4f9b609	signal	11	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	ggf_shard_011	train	1000	61	1000	1000	0.99325994960963726	0.00098656532749853915	0.00099325994960963726	0.00099325994960963726	0	0	1000	True	False	3206989478ed49e52b5869f1e86a82b4253b6bd0f3d632668870a5c138823bed	c17e271525fd40445bc5f44e7e626034a1d5b95121a5cc5b38e0282e241044a4	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
23	023_8d60a81a6ff177a4	background	12	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9708_10k_bundle.tar.gz	train	10000	6	10000	10000	128548.37041854858	1653129.5394170228	-12.85740852355957	12.85740852355957	1	0	9999	False	True	eaaa97bd3376e2852a020a13c65a5272642b6c5567594b2bbed81e96d5ee473f	03f8647581ed441f38ecf71fa5346a91d85eb3f0dc1ae80bbac2775df937232c	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
24	024_b24d9e26c1a0db05	signal	12	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	ggf_shard_012	train	1000	63	1000	1000	0.99127995781600475	0.00098263595476770016	0.00099127995781600475	0.00099127995781600475	0	0	1000	True	False	dc3ebcc31d5d489f7e5dff87471fe2a279de2e87cd4c6ea7cdc73d1fdbdbc665	e4a8373d5122dea1771dc139642834c51210ee5d8f0729afeda8c9a43473f123	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
25	025_2646528c4609bd84	signal	13	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	ggf_shard_013	train	1000	81	1000	1000	0.99069997668266296	0.00098148644379902894	0.00099069997668266296	0.00099069997668266296	0	0	1000	True	False	324ce7b263c5ae9cd7ba5e328b9ba4ef2d0666e95e7070a32cff97ff96b10d28	c0ed9faa27f329fa128ffa90cf16b4626e942d6d029d3d0e4f6a6a6279d91f3c	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
26	026_2be3a37d88fbd297	signal	20	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_020	train	1000	74	1000	1000	0.99055003374814987	0.00098118936935846085	0.00099055003374814987	0.00099055003374814987	0	0	1000	True	False	06ad7ac4f8344c79acb3f305cffda565ff419cc0ab423e8c8737b793ffd83606	969dfc459e9cd79180788ff646d77101bd2d2f9f69f056fe1e6ae0c1da8e7c2c	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
27	027_2765ba5d4ab7956f	signal	21	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_021	train	1000	74	1000	1000	0.99273002706468105	0.00098551290663584238	0.00099273002706468105	0.00099273002706468105	0	0	1000	True	False	a63d28ad98a070082ea4f198ca3b5845c0ad05b2af6269f2774c88f33f64ceed	a716ca815c2de356cc7fe1259d5ff1664a08706db08d544b2a3c4cb39d25cb39	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
28	028_d64ed8fd0f5a56ad	signal	22	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_022	train	1000	58	1000	1000	0.99202001001685858	0.00098410370027384808	0.00099202001001685858	0.00099202001001685858	0	0	1000	True	False	6c2a4c923f203bb18768b8dd16757f43601b7fe8f7250cccc7a3004ef0338724	4eb06d0710bb7250845965c51cf551803260360117640569097f84c072b75f91	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
29	029_016776d27199a5b8	signal	23	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_023	train	1000	64	1000	1000	0.98908995278179646	0.00097829893469389634	0.00098908995278179646	0.00098908995278179646	0	0	1000	True	False	2fef70f44c02f8e41f29995cbfd948e4e1b8eeaacb9213d29804fa18f08b0c9a	a104612080fa6c4a1df0d5151b720e0689e5a53821de8549e77a4d75782d0d3b	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
30	030_b80dfbb1fcfd89ba	signal	24	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_024	train	1000	47	1000	1000	0.99275994580239058	0.00098557230998956536	0.00099275994580239058	0.00099275994580239058	0	0	1000	True	False	8f8bae913616607595bea93281a76dadb48cb8f18e5ffa4ad28cfed1554271fa	eba6fe32e9272f7a6cf2ebc93553e6b378760b2171b975b1335fb6cdca71c4d8	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
31	031_01a8c824ba26efb4	signal	25	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_025	train	1000	54	1000	1000	0.99203002173453569	0.00098412356402262325	0.00099203002173453569	0.00099203002173453569	0	0	1000	True	False	e13a038fb89888c556f27ea05ccc529dbd0b69327ab32c404536cca26aa9c630	8cd5772153a92075834645ea5c45b663db0c884f6291acb3534dbe8e06d04cb9	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
32	032_f11c7a0ae8b240ad	signal	26	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ggf_shard_026	train	1000	43	1000	1000	0.99450000561773777	0.00098903026117368046	0.00099450000561773777	0.00099450000561773777	0	0	1000	True	False	fa2b0c822e8f7d7eda2067884e1acf457c383f1c89ac10ddab8c9f5588584984	3de27557c1f9817331ce1de765cb87eaf45a49bf3e272d4f8a4a085325e0e13d	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
