process_or_mode	campaign	members	generated_events	sum_generator_weights_candidate	campaign_denominator_frozen	relationship_to_legacy_parquet	cross_population_aggregation_authorized
ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	5125641.4794921875	True	unresolved_no_exact_source_identity_link	False
ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	74	740000	379086586.30371094	True	unresolved_no_exact_source_identity_link	False
